"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.736175807E1,8.365341187E0,-7.328651428E0,-1.872265697E0
8.761191066E1,6.294356346E0,-3.390189648E0,6.775590777E-1
8.786236842E1,1.076911926E1,-3.641580820E0,3.399766386E-1
8.811261256E1,5.700594425E0,-4.151545525E0,1.319205165E0
8.836371119E1,8.676587105E0,-7.838616371E0,1.144428372E0
8.861407740E1,9.028534889E0,-6.402095318E0,-5.027823523E-2
8.886422999E1,8.602366447E0,-5.240907669E0,-8.379705995E-2
8.911465724E1,1.273475838E1,-4.496310711E0,-1.007958889E0
8.936661036E1,5.442020416E0,-4.280832767E0,-6.057330370E-1
8.961700709E1,7.237671852E0,-7.671022415E0,-6.991068721E-1
8.986715968E1,6.222530365E0,-3.083731890E0,-1.043871999E0
9.011722071E1,1.237323475E1,-6.715735912E0,9.193734527E-1
9.036737330E1,1.043632507E1,-5.877765179E0,1.611297727E0
9.061764796E1,8.128314972E0,-6.689399719E0,1.436520964E-1
9.086798365E1,8.429984093E0,-7.699752808E0,-8.307880163E-1
9.111798365E1,6.773196697E0,-3.890577793E0,-1.831564307E0
9.136831935E1,1.122401714E1,-3.354276657E0,-1.197100878E-1
9.161902125E1,6.572083473E0,-3.399766445E0,4.070142806E-1
9.186914332E1,9.100360870E0,-9.311050415E0,-5.985504389E-1
9.211954005E1,5.329493046E0,-5.149928093E0,5.123591423E-1
9.237002833E1,1.006043530E1,-6.672640324E0,1.316810966E0
9.262182887E1,1.214578533E1,-4.378994942E0,-1.302445769E0
9.287240870E1,5.738901615E0,-4.948814869E0,-3.280056417E-1
9.312256129E1,6.416460514E0,-6.517016888E0,5.554547906E-1
9.337286647E1,6.114790916E0,-2.808398485E0,-8.379706144E-1
9.362298854E1,1.274194145E1,-6.919242859E0,1.357512355E0
9.387301905E1,8.971074104E0,-4.580107689E0,2.375048161E0
9.412332423E1,8.195352554E0,-7.982268333E0,1.173158810E-1
9.437359889E1,9.143456459E0,-7.486668587E0,-1.920149803E0
9.462411769E1,7.000645638E0,-4.340687752E0,-9.672574997E-1
9.487420924E1,1.212423706E1,-2.782062292E0,7.015010715E-1
9.512570460E1,5.722142220E0,-3.562572241E0,-3.351882473E-2
9.537604030E1,8.360552788E0,-7.896077156E0,-3.399766386E-1
9.562613185E1,6.461950302E0,-4.395754337E0,1.436521020E-2
9.587683375E1,1.118570995E1,-6.016628742E0,1.247379065E0
9.612692530E1,1.212184334E1,-5.147533417E0,4.477157295E-1
9.637747462E1,7.347805023E0,-4.498704910E0,-1.125274822E-1
9.662765773E1,7.659051418E0,-6.495469093E0,3.854664862E-1
9.688040431E1,7.242460251E0,-2.657563925E0,-1.221042871E-1
9.713232692E1,1.066377449E1,-5.260061264E0,3.213018656E0
9.738266261E1,7.580042362E0,-4.137180328E0,2.104503393E0
9.763321193E1,7.513004780E0,-7.991845131E0,8.762778044E-1
9.788342555E1,1.055603504E1,-7.864952564E0,1.613691926E0
9.813357814E1,8.291120529E0,-3.878606796E0,1.484405100E-1
9.838400538E1,1.130302620E1,-4.223371983E0,4.285621047E-1
9.863437159E1,5.961562157E0,-4.323928356E0,-2.394201607E-2
9.888485988E1,6.593631268E0,-6.703764915E0,8.283938169E-1
9.913492091E1,6.584054470E0,-3.928884983E0,-8.930372596E-1
9.938531764E1,1.232295609E1,-6.694188118E0,2.456450939E0
9.963574488E1,1.129105568E1,-6.107608318E0,1.826775908E0
9.988675196E1,7.417236805E0,-6.797138691E0,6.224924326E-2
1.001382168E2,8.377311707E0,-7.855375767E0,-1.077390790E0
1.003883389E2,6.373364925E0,-3.754108191E0,1.364694983E-1
1.006388882E2,1.131499767E1,-3.567360640E0,2.561795712E-1
1.008891323E2,6.797138691E0,-3.368641853E0,1.675941199E-1
1.011394985E2,8.662221909E0,-8.145073891E0,1.965639591E0
1.013899868E2,8.293514252E0,-4.965574265E0,-2.873042040E-2
1.016403836E2,8.966285706E0,-5.736507416E0,-1.987187415E-1
1.018910244E2,1.070926380E1,-5.214571476E0,-1.323993564E0
1.021413906E2,5.465962410E0,-4.127603531E0,-6.200982332E-1
1.023916653E2,8.164227486E0,-5.568912983E0,1.005564705E-1
1.026418789E2,5.892130375E0,-2.801215887E0,-9.385270476E-1
1.028921231E2,1.169328117E1,-7.960720539E0,9.026140571E-1
1.031426419E2,9.557653427E0,-6.473921299E0,2.942473888E0
1.033929470E2,7.946355343E0,-7.630321026E0,2.561795712E-1
1.036434047E2,9.016563416E0,-7.829039574E0,-1.970427990E0
1.038936489E2,7.580042362E0,-4.000710964E0,-1.462857246E0
1.041442287E2,1.241872406E1,-2.801215887E0,-1.292868853E-1
1.043944728E2,6.564900875E0,-4.079719543E0,3.351882398E-1
1.046446254E2,9.239224434E0,-8.774748802E0,-1.436520964E-1
1.048951747E2,6.505045891E0,-4.091690540E0,-1.247379065E0
1.051453273E2,1.167652130E1,-6.224924564E0,2.485181332E0
1.053967617E2,1.294305420E1,-6.150704384E0,-3.806780577E-1
1.056471279E2,5.492298603E0,-5.272032261E0,-4.716577232E-1
1.058973415E2,8.087613106E0,-5.695806026E0,7.445967197E-1
1.061478603E2,6.483498096E0,-3.119644880E0,-2.729389966E-1
1.063979824E2,1.414973164E1,-5.875370979E0,2.147598982E0
1.066483486E2,7.623138428E0,-4.410119534E0,3.086126089E0
1.068987148E2,9.255983353E0,-8.832210541E0,4.812345505E-1
1.071499355E2,9.155426979E0,-7.852981567E0,-5.267243981E-1
1.074014308E2,7.690176010E0,-5.094861031E0,-1.721431017E0
1.076516445E2,1.236605167E1,-3.876212597E0,-1.527500629E0
1.079019802E2,6.102819920E0,-4.388571739E0,1.197100878E-1
1.081522243E2,8.176198959E0,-8.738836288E0,1.079784989E0
1.084024990E2,5.394136429E0,-4.836287498E0,2.633621916E-2
1.086528957E2,1.219845772E1,-7.764396191E0,1.572990537E0
1.089030178E2,1.203565216E1,-7.797914982E0,3.351882473E-2
1.091545131E2,6.174646378E0,-6.684611320E0,1.532289088E-1
1.094046047E2,7.951143742E0,-7.424419403E0,-6.703764796E-1
