"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.507906285E1,-4.218447208E-1,-3.472762108E-1,3.653857112E-1
5.532924596E1,-4.133225977E-1,8.468852639E-1,4.207794666E-1
5.557958165E1,-4.719121456E-1,-2.556634545E-1,8.937568665E-1
5.582961217E1,5.715143681E-1,-1.768871665E0,-9.155948162E-1
5.607988683E1,8.181231022E-1,-1.066862345E0,-8.309062719E-1
5.633019200E1,-8.772453070E-1,1.867408633E0,6.306365728E-1
5.658028356E1,-5.661880374E-1,9.209211469E-1,8.474178910E-1
5.683058873E1,2.822950780E-1,1.491370201E-1,4.575310946E-1
5.708058873E1,5.539374948E-1,9.534116834E-2,-1.842907548E0
5.733095494E1,-4.958806038E-1,-6.034722924E-1,-4.058657587E-1
5.758217565E1,-9.906959534E-2,6.125270575E-2,1.755023241E0
5.783229772E1,-7.254450917E-1,2.055960447E-1,1.125451922E0
5.808275548E1,6.476807594E-1,3.036003746E-2,-9.384979606E-1
5.833364049E1,4.953479767E-1,1.422128081E-1,-1.807753801E0
5.858388463E1,-3.584614992E-1,6.029396653E-1,8.649947643E-1
5.883412877E1,-4.692489803E-1,9.624664187E-1,1.408279657E0
5.908425084E1,-1.688444167E-1,1.810949594E-1,9.480853677E-1
5.933458653E1,2.673813701E-1,-1.135571957E0,-1.309210062E0
5.958486119E1,3.195793368E-3,-1.063133955E0,-1.032773852E0
5.983516637E1,-2.183792181E-2,1.826928556E-1,1.302285790E0
6.008635655E1,-9.480853379E-2,-3.627225459E-1,9.640643597E-1
6.033653966E1,2.013349831E-1,8.362326026E-1,1.065264456E-2
6.058666173E1,-2.434129268E-1,7.265103459E-1,-1.946238160E0
6.083690587E1,-6.290386319E-1,3.568635881E-2,-3.062635362E-1
6.108721105E1,2.455434501E-1,4.671184719E-1,1.585646152E0
6.133763829E1,-2.790992856E-1,-2.103897333E-1,9.033442736E-1
6.158956090E1,5.534048676E-1,-2.024002552E0,-1.240500450E0
6.183980504E1,5.203816891E-1,-7.462177277E-1,-1.279382586E0
6.208998815E1,-2.940129936E-1,1.189367771E0,6.237123609E-1
6.234001866E1,-6.040049195E-1,4.793690145E-2,1.145159245E0
6.259026280E1,6.301039457E-1,9.060074091E-1,-2.503371425E-2
6.284053746E1,6.087986231E-1,5.081311464E-1,-1.696433663E0
6.309081212E1,-4.191815555E-1,1.651159860E-2,-1.075917110E-1
6.334096471E1,-3.036003746E-2,1.587243974E-1,1.084439158E0
6.359099523E1,-4.905542731E-1,-2.689792812E-1,8.090683818E-1
6.384108678E1,2.008023560E-1,-1.450357556E0,-1.145159245E0
6.409142247E1,7.174556255E-1,-1.116397142E0,-1.197357297E0
6.434160558E1,-1.315601617E-1,1.361407995E0,8.016114831E-1
6.459178868E1,-5.624596477E-1,1.773665249E-1,7.499461770E-1
6.484188024E1,2.743056118E-1,6.354302764E-1,5.715143681E-1
6.509215489E1,3.238403797E-1,2.439455539E-1,-1.711879969E0
6.534227696E1,-1.022653878E-1,-5.640575290E-1,-6.354302764E-1
6.559236852E1,2.418150306E-1,-2.114549875E-1,1.417866945E0
6.584261266E1,-1.115864515E0,-1.299622655E-1,9.869675040E-1
6.609276524E1,8.399610519E-1,-1.260740519E0,-7.211840153E-1
6.634288732E1,7.717841268E-1,-5.933523178E-1,-1.433313370E0
6.659316197E1,-4.825648069E-1,1.172323585E0,5.635249019E-1
6.684352818E1,-1.992044598E-1,5.427522659E-1,1.197889924E0
6.709371129E1,-2.125202566E-1,5.906891227E-1,8.394283652E-1
6.734392491E1,5.257080197E-1,-3.557983339E-1,-1.491370201E0
6.759416905E1,-2.817624509E-1,-6.162554622E-1,-5.470132828E-1
6.784435216E1,4.255731404E-1,-4.378236830E-1,1.105744481E0
6.809465733E1,-3.579288721E-1,-6.838997602E-1,7.696535587E-1
6.834480992E1,5.459480286E-1,-4.282363057E-1,-3.818973005E-1
6.859514562E1,9.076052904E-1,3.030677438E-1,-1.212270975E0
6.884538976E1,-1.222391009E0,6.434197426E-1,2.103897333E-1
6.909560338E1,-2.897519469E-1,7.046724558E-1,8.772453070E-1
6.934575597E1,-3.877562582E-1,-7.882957160E-2,1.083373904E0
6.959593907E1,9.747169912E-2,-7.701861858E-1,-1.548361897E0
6.984630528E1,6.082659960E-1,-1.518534541E0,-8.383631110E-1
7.009636632E1,-6.849650741E-1,8.836368918E-1,9.390306473E-1
7.034642735E1,-1.454086006E-1,-2.327602804E-1,8.580704927E-1
7.059685460E1,3.499393761E-1,5.560680628E-1,4.964132309E-1
7.084706822E1,1.422128081E-1,9.667274952E-1,-1.848233819E0
7.109749547E1,-1.699096859E-1,1.821602285E-1,-1.480717659E-1
7.134767858E1,5.033374429E-1,2.854908705E-1,1.597896695E0
7.159789220E1,-2.636529505E-1,-5.917543769E-1,8.713863492E-1
7.184789220E1,-6.077333689E-1,-8.037420511E-1,-1.835450649E0
7.209813634E1,9.944243431E-1,-1.373658538E0,-1.212803602E0
7.234822789E1,-1.864212751E-1,1.023186564E0,9.992180467E-1
7.259826977E1,-4.841626883E-1,5.054680109E-1,7.542072535E-1
