"Time (s)","Illuminance (lx)"
7.304953320E1,1.022000000E3
7.357376415E1,9.860000000E2
7.387094433E1,1.587000000E3
7.419684155E1,1.446000000E3
7.452273876E1,1.157000000E3
7.482113964E1,1.376000000E3
7.514682324E1,1.532000000E3
7.547223217E1,7.070000000E2
7.576956494E1,1.052000000E3
7.606811840E1,1.824000000E3
7.656399853E1,1.961000000E3
7.686255200E1,1.440000000E3
7.715973217E1,1.501000000E3
7.748575146E1,1.702000000E3
7.791141064E1,8.580000000E2
7.823703320E1,1.484000000E3
7.856280834E1,1.298000000E3
7.885977490E1,1.862000000E3
7.928543408E1,1.944000000E3
7.961105663E1,3.192000000E3
8.006857617E1,4.290000000E2
8.036716015E1,2.740000000E3
8.098807079E1,7.630000000E2
8.126919872E1,1.756000000E3
8.161087353E1,3.255000000E3
8.207977565E1,1.101000000E3
8.266568263E1,8.870000000E2
8.329690821E1,1.307000000E3
8.389041407E1,1.005000000E3
8.446597560E1,1.507000000E3
8.507190211E1,1.230000000E3
8.564981349E1,1.543000000E3
8.590054591E1,8.350000000E2
8.636935694E1,1.383000000E3
8.697549708E1,1.267000000E3
8.756903346E1,1.357000000E3
8.817294581E1,1.198000000E3
8.876501734E1,1.289000000E3
8.937073024E1,1.353000000E3
8.996844752E1,1.543000000E3
9.057406886E1,1.061000000E3
9.117972071E1,1.615000000E3
9.143170436E1,1.066000000E3
9.191299708E1,1.333000000E3
9.251898463E1,1.304000000E3
9.311673243E1,1.094000000E3
9.372238429E1,1.351000000E3
9.432010157E1,1.103000000E3
9.492599757E1,1.443000000E3
9.553305323E1,1.137000000E3
9.613897975E1,1.455000000E3
9.674493678E1,1.068000000E3
9.735098536E1,1.731000000E3
9.795691188E1,1.839000000E3
9.856299098E1,1.589000000E3
9.916876490E1,1.365000000E3
9.977481349E1,1.325000000E3
1.003725003E2,1.447000000E3
1.009785794E2,1.811000000E3
1.015848416E2,1.635000000E3
1.021910733E2,1.609000000E3
1.027968777E2,1.966000000E3
1.034030178E2,1.263000000E3
1.040090053E2,1.721000000E3
1.046149929E2,1.469000000E3
1.052209804E2,1.901000000E3
1.058280055E2,1.633000000E3
1.064338710E2,1.501000000E3
1.070399196E2,1.255000000E3
1.076458156E2,1.465000000E3
1.082436244E2,1.203000000E3
1.088224513E2,1.293000000E3
1.094146144E2,1.113000000E3
1.099934108E2,1.305000000E3
1.105857875E2,1.073000000E3
1.111645534E2,1.275000000E3
1.117297084E2,9.890000000E2
1.122620265E2,7.690000000E2
1.125639064E2,1.764000000E3
1.128848903E2,2.078000000E3
1.131834438E2,2.958000000E3
1.137485683E2,6.500000000E2
1.140456264E2,2.720000000E3
1.143441493E2,2.913000000E3
1.145949123E2,3.100000000E1
1.149811428E2,5.300000000E2
1.152784450E2,2.383000000E3
1.155769985E2,2.509000000E3
1.158741176E2,2.467000000E3
1.161726100E2,2.051000000E3
1.165697353E2,2.052000000E3
1.168668849E2,2.390000000E3
1.171653163E2,2.328000000E3
1.175657680E2,2.074000000E3
1.178881862E2,2.673000000E3
1.183840053E2,2.674000000E3
1.188809535E2,2.621000000E3
1.191326625E2,3.600000000E1
1.195456874E2,7.180000000E2
1.201356838E2,1.214000000E3
1.203876979E2,7.800000000E2
1.208564784E2,9.930000000E2
1.214487636E2,1.465000000E3
1.220424221E2,9.800000000E2
1.226346767E2,1.524000000E3
1.232283962E2,1.243000000E3
1.238243434E2,1.518000000E3
1.244164455E2,1.225000000E3
1.250506923E2,1.102000000E3
1.256386440E2,9.350000000E2
1.262616298E2,1.215000000E3
1.268244655E2,9.750000000E2
1.270788906E2,1.014000000E3
1.275274684E2,1.337000000E3
1.277792385E2,8.530000000E2
1.282480190E2,1.235000000E3
1.284987209E2,8.450000000E2
1.289676235E2,1.053000000E3
1.295871608E2,8.930000000E2
1.298844020E2,2.556000000E3
1.301828945E2,2.432000000E3
1.304799526E2,2.235000000E3
1.307785060E2,1.887000000E3
1.310755641E2,1.709000000E3
1.313739040E2,1.627000000E3
1.317551601E2,1.595000000E3
1.320968044E2,1.568000000E3
1.325211513E2,1.726000000E3
1.328040187E2,1.805000000E3
1.331010768E2,6.600000000E2
1.333995082E2,1.962000000E3
1.336966579E2,1.558000000E3
1.339950091E2,1.124000000E3
1.342922503E2,1.057000000E3
1.345906206E2,9.920000000E2
1.348877703E2,9.890000000E2
1.351861406E2,1.024000000E3
1.354833819E2,1.120000000E3
1.358804766E2,1.077000000E3
1.361788469E2,9.720000000E2
1.364758440E2,9.820000000E2
1.367741839E2,9.740000000E2
1.370713946E2,9.340000000E2
1.374683367E2,9.300000000E2
1.377669207E2,9.650000000E2
1.381638018E2,9.720000000E2
1.384607378E2,9.830000000E2
1.387593523E2,1.036000000E3
1.390561663E2,1.385000000E3
1.393544146E2,1.476000000E3
1.396515337E2,1.552000000E3
1.399773699E2,1.893000000E3
1.403029619E2,1.369000000E3
1.406015764E2,1.416000000E3
1.408986040E2,1.358000000E3
1.411969134E2,1.252000000E3
1.414939715E2,1.034000000E3
1.417924639E2,9.090000000E2
1.420895830E2,9.160000000E2
1.425862566E2,9.230000000E2
1.429832293E2,9.210000000E2
1.432804400E2,1.017000000E3
1.436776264E2,1.050000000E3
1.439760883E2,1.036000000E3
1.442732685E2,1.074000000E3
1.445719441E2,1.202000000E3
1.448689716E2,1.272000000E3
1.451674641E2,1.352000000E3
1.454647358E2,1.635000000E3
1.457633503E2,1.813000000E3
1.460891255E2,1.844000000E3
1.463862751E2,1.884000000E3
1.467119892E2,2.674000000E3
1.473099812E2,1.195000000E3
1.479038227E2,1.326000000E3
1.481543110E2,7.570000000E2
1.486229694E2,9.020000000E2
1.492167661E2,1.132000000E3
1.498045956E2,1.106000000E3
1.504277951E2,1.076000000E3
1.510131833E2,9.490000000E2
1.516365353E2,1.157000000E3
1.522266232E2,1.001000000E3
1.528052670E2,1.159000000E3
1.533702390E2,9.630000000E2
1.536244809E2,1.003000000E3
1.540728452E2,1.339000000E3
1.543246762E2,9.360000000E2
1.547980954E2,1.317000000E3
1.550500790E2,8.430000000E2
1.555191342E2,1.161000000E3
1.561425168E2,1.080000000E3
1.567282101E2,9.910000000E2
1.573245236E2,1.051000000E3
1.575785825E2,9.580000000E2
1.581669614E2,1.119000000E3
1.587669370E2,1.359000000E3
1.593648679E2,1.391000000E3
1.599706113E2,9.610000000E2
1.605684201E2,1.409000000E3
1.611744382E2,1.282000000E3
1.617803952E2,1.430000000E3
1.623782956E2,9.620000000E2
1.629839780E2,1.509000000E3
1.635900571E2,1.389000000E3
1.641959836E2,1.106000000E3
1.644503171E2,9.510000000E2
1.650435483E2,1.199000000E3
1.656473996E2,1.145000000E3
1.662398373E2,1.177000000E3
1.668457422E2,1.483000000E3
1.674518823E2,1.527000000E3
1.680577783E2,1.090000000E3
1.686639490E2,1.503000000E3
1.692697839E2,1.234000000E3
1.698757104E2,1.544000000E3
1.704814538E2,1.377000000E3
1.710870752E2,1.183000000E3
1.716806726E2,1.213000000E3
1.722847070E2,1.199000000E3
1.725582361E2,5.220000000E2
1.729999780E2,9.710000000E2
1.735753869E2,1.321000000E3
1.738272790E2,8.470000000E2
1.742962427E2,1.321000000E3
1.749001245E2,1.595000000E3
1.755031518E2,1.761000000E3
1.761073083E2,1.723000000E3
1.767114648E2,2.167000000E3
1.773154992E2,1.687000000E3
1.779191064E2,1.946000000E3
1.785232629E2,1.735000000E3
1.791270837E2,1.909000000E3
1.797313623E2,1.574000000E3
1.803354272E2,1.466000000E3
1.809356775E2,1.219000000E3
1.815142876E2,1.551000000E3
1.821101738E2,1.291000000E3
1.826856438E2,1.551000000E3
1.829374443E2,1.210000000E3
1.834185539E2,1.461000000E3
1.840246330E2,1.649000000E3
1.846306511E2,1.733000000E3
1.852364250E2,1.485000000E3
1.858425041E2,2.047000000E3
1.864482780E2,1.329000000E3
1.870827385E2,1.691000000E3
1.876503349E2,9.690000000E2
1.882711235E2,9.900000000E2
1.888571220E2,8.600000000E2
1.894860588E2,1.177000000E3
1.900740105E2,1.113000000E3
1.907051750E2,1.391000000E3
1.912986198E2,1.155000000E3
1.918742424E2,1.427000000E3
1.924802300E2,1.123000000E3
1.930589958E2,1.545000000E3
1.936553093E2,1.091000000E3
1.942304436E2,1.581000000E3
1.944822746E2,1.061000000E3
1.949634148E2,1.509000000E3
1.955701653E2,1.345000000E3
1.961760002E2,1.611000000E3
1.967822014E2,1.668000000E3
1.973878462E2,2.051000000E3
1.979937422E2,1.645000000E3
1.985993330E2,2.055000000E3
1.992051985E2,1.394000000E3
1.998112471E2,1.931000000E3
2.004170210E2,1.667000000E3
2.010227644E2,1.593000000E3
2.016287215E2,1.409000000E3
2.022347090E2,1.631000000E3
2.028406355E2,1.369000000E3
2.034195845E2,1.745000000E3
2.036737654E2,1.315000000E3
2.041506941E2,1.821000000E3
2.047542708E2,1.879000000E3
2.053582442E2,2.109000000E3
2.059623091E2,1.831000000E3
2.065660689E2,2.173000000E3
2.071701949E2,1.827000000E3
2.077742293E2,2.195000000E3
2.083782332E2,1.394000000E3
2.090378706E2,1.782000000E3
2.096416584E2,1.550000000E3
2.102459675E2,1.765000000E3
2.108501545E2,1.497000000E3
2.114255329E2,1.911000000E3
2.120278584E2,1.589000000E3
2.126034504E2,1.941000000E3
2.132101093E2,1.629000000E3
2.137888447E2,1.927000000E3
2.140430561E2,1.233000000E3
2.145470539E2,1.867000000E3
2.151680866E2,2.019000000E3
2.158299824E2,2.137000000E3
2.164360615E2,1.759000000E3
2.170422932E2,2.097000000E3
2.176478230E2,1.843000000E3
2.182536274E2,1.706000000E3
2.188597370E2,1.565000000E3
2.194654499E2,1.735000000E3
2.200713459E2,1.541000000E3
2.206504169E2,1.779000000E3
2.212544514E2,1.529000000E3
2.218299213E2,1.803000000E3
2.224367329E2,1.539000000E3
2.230156208E2,1.887000000E3
2.236196247E2,1.559000000E3
2.241947895E2,1.943000000E3
2.244468342E2,1.334000000E3
2.249283710E2,1.769000000E3
2.255311543E2,1.549000000E3
2.261344868E2,1.683000000E3
2.267384907E2,1.483000000E3
2.273423115E2,1.955000000E3
2.279461628E2,1.271000000E3
2.285509984E2,1.937000000E3
2.291549717E2,1.381000000E3
2.297591588E2,1.907000000E3
2.303627659E2,1.187000000E3
2.309938389E2,1.807000000E3
2.316009861E2,1.243000000E3
2.321798130E2,1.023000000E3
2.327450291E2,9.210000000E2
2.333101231E2,9.890000000E2
2.338674046E2,8.510000000E2
2.344880406E2,9.550000000E2
2.350453523E2,8.590000000E2
2.356104157E2,1.109000000E3
2.361698945E2,9.530000000E2
2.367351411E2,1.207000000E3
2.373286469E2,1.293000000E3
2.379325593E2,1.428000000E3
2.385285371E2,1.271000000E3
2.391595490E2,1.475000000E3
2.397576325E2,1.265000000E3
2.403363679E2,1.519000000E3
2.409321931E2,1.263000000E3
2.415077851E2,1.485000000E3
2.421055329E2,1.203000000E3
2.426841157E2,1.541000000E3
2.432800019E2,1.201000000E3
2.438555024E2,1.525000000E3
2.444612153E2,1.129000000E3
2.450398286E2,1.377000000E3
2.456048647E2,8.530000000E2
2.458585573E2,1.308000000E3
2.464159609E2,5.730000000E2
2.467131411E2,3.059000000E3
2.472103029E2,6.330000000E2
2.475072695E2,2.264000000E3
2.478329226E2,1.897000000E3
2.481585146E2,2.806000000E3
2.484570986E2,2.329000000E3
2.489809633E2,2.058000000E3
2.492428347E2,1.888000000E3
2.495048891E2,2.632000000E3
2.498017336E2,2.000000000E3
2.502272707E2,2.103000000E3
2.505528017E2,2.688000000E3
2.509054934E2,1.155000000E3
2.512039858E2,1.714000000E3
2.515010744E2,2.479000000E3
2.518977724E2,2.598000000E3
2.521960817E2,2.171000000E3
2.525930544E2,2.249000000E3
2.530884768E2,2.578000000E3
2.533868776E2,2.269000000E3
2.537838198E2,2.218000000E3
2.541807924E2,2.214000000E3
2.544778200E2,2.097000000E3
2.547761904E2,2.059000000E3
2.550733400E2,2.062000000E3
2.553718019E2,1.922000000E3
2.556690126E2,1.705000000E3
2.560656496E2,1.748000000E3
2.565625673E2,1.864000000E3
2.568596865E2,1.623000000E3
2.572564455E2,1.668000000E3
2.577533327E2,1.766000000E3
2.580506350E2,1.447000000E3
2.583488527E2,1.473000000E3
2.586458498E2,1.828000000E3
2.589443916E2,1.800000000E3
2.592410530E2,1.585000000E3
2.595393318E2,1.678000000E3
2.598363899E2,1.950000000E3
2.601346077E2,1.856000000E3
2.606302131E2,1.590000000E3
2.609285835E2,1.998000000E3
2.612254280E2,1.975000000E3
2.615240730E2,1.515000000E3
2.619211677E2,1.585000000E3
2.624167122E2,1.721000000E3
2.629135383E2,1.488000000E3
2.632105964E2,1.855000000E3
2.636076912E2,1.770000000E3
2.641047005E2,1.560000000E3
2.644017891E2,1.855000000E3
2.647000679E2,1.842000000E3
2.649972481E2,1.608000000E3
2.652955574E2,1.659000000E3
2.655928291E2,1.968000000E3
2.658910164E2,1.919000000E3
