"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.300787798E1,-3.119999886E0,5.879999924E1,4.380000114E0
1.326208940E1,-1.620000005E0,6.611999512E1,2.220000029E0
1.351639238E1,4.380000114E0,7.373999786E1,2.099999905E0
1.377078691E1,-3.599999905E0,5.597999954E1,2.700000048E0
1.402493730E1,-2.519999981E0,5.513999939E1,8.460000038E0
1.427905718E1,-3.899999857E0,6.329999924E1,4.199999869E-1
1.453311601E1,4.799999714E0,7.301999664E1,6.899999619E0
1.478732744E1,1.919999957E0,6.936000061E1,8.099999428E0
1.504156938E1,-2.939999819E0,5.387999725E1,9.779999733E0
1.529581133E1,-2.879999876E0,5.909999847E1,8.220000267E0
1.554999223E1,-6.599999666E-1,6.726000214E1,5.699999809E0
1.580411211E1,2.279999971E0,7.283999634E1,5.159999847E0
1.605807939E1,-4.739999771E0,5.784000015E1,5.279999733E0
1.631213823E1,-5.940000057E0,4.907999802E1,6.719999790E0
1.656616655E1,-5.460000038E0,5.891999817E1,3.959999800E0
1.682046953E1,-5.999999642E-1,6.863999939E1,5.879999638E0
1.707452837E1,-3.240000010E0,6.371999741E1,4.799999714E0
1.732873979E1,-2.819999933E0,5.189999771E1,8.039999962E0
1.758295122E1,-4.199999809E0,5.550000000E1,5.759999752E0
1.783719316E1,-2.039999962E0,6.365999985E1,2.579999924E0
1.809137407E1,4.799999893E-1,6.845999908E1,3.179999828E0
1.834546343E1,-3.779999971E0,5.502000046E1,2.639999866E0
1.859961382E1,-4.199999809E0,5.381999969E1,4.619999886E0
1.885382524E1,-2.339999914E0,6.413999939E1,-8.399999738E-1
1.910818926E1,1.199999928E0,6.911999512E1,1.799999923E-1
1.936227861E1,-2.399999857E0,6.371999741E1,1.979999900E0
1.961636797E1,-2.759999990E0,5.315999985E1,6.899999619E0
1.987045732E1,-3.179999828E0,5.784000015E1,2.279999971E0
2.012454668E1,5.999999642E-1,6.647999573E1,3.059999943E0
2.037897173E1,7.799999714E-1,6.779999542E1,2.339999914E0
2.063275591E1,-2.579999924E0,5.550000000E1,1.799999952E0
2.088678423E1,-2.220000029E0,5.411999893E1,4.500000000E0
2.114096514E1,-1.500000000E0,6.185999680E1,3.659999847E0
2.139523760E1,2.700000048E0,7.008000183E1,4.019999981E0
2.164954057E1,-2.220000029E0,6.185999680E1,2.099999905E0
2.190396562E1,-2.220000029E0,5.669999695E1,7.799999714E0
2.215808550E1,-3.359999895E0,5.927999878E1,2.579999924E0
2.241235796E1,-5.999999866E-2,6.755999756E1,5.400000095E0
2.266656938E1,-5.999999866E-2,6.755999756E1,5.940000057E0
2.292059770E1,-3.659999847E0,5.771999741E1,6.480000019E0
2.317480913E1,-3.539999962E0,5.681999969E1,7.619999886E0
2.342889848E1,-3.659999847E0,6.329999924E1,3.539999962E0
2.368307939E1,1.379999995E0,7.236000061E1,4.380000114E0
2.393732134E1,-4.920000076E0,6.000000000E1,2.279999971E0
2.419153276E1,-3.480000019E0,5.597999954E1,1.026000023E1
2.444577470E1,-4.440000057E0,6.011999893E1,5.519999981E0
2.469995561E1,-2.039999962E0,6.569999695E1,4.139999866E0
2.495404497E1,-7.799999714E-1,6.797999573E1,4.859999657E0
2.520825639E1,-4.500000000E0,5.825999832E1,5.400000095E0
2.546255937E1,-4.619999886E0,5.609999847E1,4.079999924E0
2.571698442E1,-4.259999752E0,6.318000031E1,1.860000014E0
2.597134844E1,1.199999973E-1,6.977999878E1,4.139999866E0
2.622540727E1,-4.859999657E0,5.987999725E1,3.119999886E0
2.647946611E1,-3.480000019E0,5.550000000E1,9.539999962E0
2.673346391E1,-2.039999962E0,6.137999725E1,5.759999752E0
2.698773638E1,-2.279999971E0,6.605999756E1,3.839999914E0
2.724191728E1,-3.599999845E-1,6.654000092E1,4.920000076E0
2.749597612E1,-5.099999905E0,5.273999786E1,2.700000048E0
2.775003496E1,-3.419999838E0,5.705999756E1,4.559999943E0
2.800406328E1,-3.599999905E0,6.341999817E1,1.199999973E-1
2.825827470E1,1.679999948E0,7.169999695E1,3.059999943E0
2.851245561E1,-1.259999990E0,6.479999542E1,4.980000019E0
2.876666704E1,-1.919999957E0,5.609999847E1,8.760000229E0
2.902066484E1,-3.599999905E0,5.957999802E1,5.400000095E0
2.927490679E1,2.399999946E-1,6.719999695E1,3.480000019E0
2.952902666E1,1.139999986E0,7.055999756E1,1.620000005E0
2.978314653E1,-5.159999847E0,5.784000015E1,4.799999893E-1
3.003744951E1,-5.039999962E0,5.609999847E1,4.319999695E0
3.029135576E1,-3.119999886E0,6.384000015E1,1.139999986E0
3.054541460E1,-8.999999762E-1,6.941999817E1,2.399999857E0
3.079950395E1,-1.799999952E0,6.605999756E1,3.359999895E0
3.105347124E1,-3.299999952E0,5.603999710E1,7.139999866E0
3.130737749E1,-4.920000076E0,5.915999985E1,3.000000000E0
3.156143633E1,-1.979999900E0,6.587999725E1,2.279999971E0
3.181543413E1,-1.259999990E0,6.840000153E1,2.700000048E0
3.206976763E1,-6.420000076E0,5.634000015E1,-2.399999857E0
3.232385698E1,-5.099999905E0,5.573999786E1,4.500000000E0
3.257791582E1,-4.139999866E0,6.413999939E1,5.399999619E-1
3.283206621E1,1.860000014E0,7.104000092E1,3.119999886E0
3.308612505E1,-2.700000048E0,6.408000183E1,8.399999738E-1
3.334048906E1,-3.899999857E0,5.423999786E1,3.599999905E0
3.359466997E1,-3.119999886E0,6.161999893E1,2.099999905E0
3.384885088E1,9.599999785E-1,6.941999817E1,1.139999986E0
3.410290972E1,2.579999924E0,7.241999817E1,1.740000010E0
3.435727373E1,-2.339999914E0,6.215999985E1,3.179999828E0
3.461142412E1,-2.519999981E0,5.652000046E1,7.559999943E0
3.486560503E1,-2.700000048E0,6.455999756E1,3.299999952E0
3.511981645E1,2.639999866E0,7.169999695E1,6.839999676E0
3.537405840E1,2.399999946E-1,6.768000031E1,7.079999924E0
3.562826982E1,-3.359999895E0,5.345999908E1,8.579999924E0
3.588238970E1,-4.139999866E0,5.819999695E1,6.420000076E0
3.613647905E1,-1.799999952E0,6.605999756E1,4.079999924E0
3.639053789E1,9.599999785E-1,7.301999664E1,3.659999847E0
3.664462724E1,-5.039999962E0,5.825999832E1,2.700000048E0
3.689868608E1,-4.619999886E0,5.502000046E1,6.899999619E0
3.715283647E1,-4.380000114E0,6.179999924E1,2.399999946E-1
3.740738359E1,8.999999762E-1,7.097999573E1,3.480000019E0
3.766150346E1,-2.519999981E0,6.245999908E1,4.199999809E0
3.791574541E1,-3.720000029E0,4.800000000E1,7.019999981E0
3.816989580E1,-3.240000010E0,5.861999893E1,3.599999905E0
3.842429033E1,-4.199999869E-1,6.731999969E1,4.199999869E-1
3.867844072E1,1.919999957E0,6.972000122E1,2.039999962E0
3.893268266E1,-3.119999886E0,5.784000015E1,2.339999914E0
3.918707720E1,-2.399999857E0,5.507999802E1,6.539999962E0
3.944116655E1,-2.879999876E0,6.234000015E1,1.799999923E-1
3.969540849E1,2.220000029E0,7.176000214E1,1.860000014E0
3.994955888E1,-1.500000000E0,6.515999603E1,2.339999914E0
4.020395342E1,-3.000000000E0,5.400000000E1,7.500000000E0
4.045804277E1,-3.539999962E0,5.975999832E1,4.319999695E0
4.071219316E1,-1.620000005E0,6.701999664E1,2.700000048E0
4.096631304E1,1.439999938E0,7.187999725E1,4.199999809E0
4.122037187E1,-4.799999714E0,5.693999863E1,2.700000048E0
4.147455278E1,-5.099999905E0,5.537999725E1,3.480000019E0
4.172853795E1,-4.199999809E0,6.486000061E1,-9.599999785E-1
4.198262730E1,1.139999986E0,7.145999908E1,1.319999933E0
4.223677770E1,4.199999869E-1,6.840000153E1,3.059999943E0
4.249062291E1,-2.879999876E0,5.723999786E1,6.000000000E0
4.274465123E1,-1.919999957E0,6.245999908E1,2.879999876E0
4.299880162E1,7.799999714E-1,6.905999756E1,2.399999857E0
4.325295201E1,2.519999981E0,7.158000183E1,1.860000014E0
4.350707188E1,-2.700000048E0,6.269999695E1,2.099999905E0
4.376106969E1,-2.039999962E0,6.197999954E1,6.719999790E0
4.401525060E1,-2.519999981E0,6.545999908E1,2.700000048E0
4.426924840E1,1.439999938E0,7.229999542E1,5.639999866E0
4.452333775E1,-3.480000019E0,6.479999542E1,4.619999886E0
4.477761022E1,-4.199999809E0,5.681999969E1,1.139999962E1
4.503160802E1,-5.759999752E0,6.018000031E1,5.940000057E0
4.528572789E1,-1.139999986E0,6.755999756E1,8.099999428E0
4.553978673E1,-2.879999876E0,6.641999817E1,8.579999924E0
4.579396764E1,-6.960000038E0,5.429999924E1,7.440000057E0
4.604830113E1,-5.519999981E0,5.759999847E1,7.019999981E0
4.630235997E1,-4.739999771E0,6.401999664E1,2.220000029E0
4.655678502E1,-4.199999869E-1,7.073999786E1,3.839999914E0
4.681090489E1,-4.679999828E0,6.239999771E1,3.240000010E0
4.706493321E1,-3.779999971E0,5.286000061E1,9.300000191E0
4.731902257E1,-5.099999905E0,5.729999924E1,3.059999943E0
4.757314244E1,-1.559999943E0,6.726000214E1,5.159999847E0
4.782756749E1,1.199999973E-1,6.869999695E1,4.019999981E0
4.808180943E1,-4.799999714E0,5.502000046E1,2.879999876E0
4.833608190E1,-4.679999828E0,5.447999954E1,2.639999866E0
4.859032384E1,-2.159999847E0,6.377999878E1,-1.199999973E-1
4.884453526E1,1.199999973E-1,6.809999847E1,0.000000000E0
4.909877721E1,-5.999999866E-2,6.281999969E1,4.799999893E-1
4.935289708E1,-5.999999866E-2,5.802000046E1,5.819999695E0
4.960701695E1,-1.679999948E0,6.569999695E1,3.119999886E0
4.986122838E1,2.579999924E0,7.445999908E1,6.539999962E0
5.011559239E1,8.999999762E-1,7.326000214E1,7.980000019E0
5.036989537E1,-3.899999857E0,6.239999771E1,5.159999847E0
5.062383214E1,-4.380000114E0,6.161999893E1,4.859999657E0
5.087804357E1,-1.559999943E0,6.797999573E1,3.959999800E0
5.113194982E1,1.620000005E0,7.319999695E1,3.899999857E0
5.138597814E1,-4.980000019E0,6.047999954E1,3.000000000E0
5.164000646E1,-3.779999971E0,5.429999924E1,9.000000000E0
5.189427892E1,-3.599999905E0,6.234000015E1,4.980000019E0
5.214830724E1,-7.799999714E-1,6.761999512E1,4.739999771E0
5.240245763E1,-8.999999762E-1,6.845999908E1,6.599999905E0
5.265648595E1,-4.739999771E0,5.568000031E1,5.759999752E0
5.291075841E1,-4.019999981E0,5.795999908E1,7.559999943E0
5.316478673E1,-3.419999838E0,6.479999542E1,3.240000010E0
5.341908971E1,8.399999738E-1,7.236000061E1,5.039999962E0
5.367317906E1,-3.240000010E0,6.300000000E1,4.380000114E0
5.392726842E1,-1.979999900E0,5.861999893E1,1.038000011E1
5.418129674E1,-3.059999943E0,6.173999786E1,5.159999847E0
5.443550816E1,-1.139999986E0,6.701999664E1,4.319999695E0
5.468975011E1,1.799999952E0,7.151999664E1,2.879999876E0
5.494402257E1,-4.980000019E0,5.771999741E1,2.099999905E0
5.519823399E1,-3.539999962E0,5.885999680E1,4.679999828E0
5.545244542E1,-4.199999809E0,6.209999847E1,4.199999869E-1
5.570653478E1,1.259999990E0,6.941999817E1,2.279999971E0
5.596080724E1,-1.319999933E0,6.395999908E1,4.139999866E0
