"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.994881415E1,-1.832254887E0,-5.219795704E-1,2.439455509E0
4.019997382E1,6.615292430E-1,9.544769526E-1,-2.307362795E0
4.045104193E1,6.290386319E-1,9.171926975E-1,9.720538259E-1
4.070217108E1,-3.054645777E0,-1.964880347E0,2.509230375E0
4.095330024E1,-5.912217498E-1,1.134506613E-1,5.826996565E-1
4.120427680E1,1.320927978E0,1.160073042E0,-3.488741219E-1
4.145555854E1,-2.208825827E0,-2.418150306E-1,1.492435455E0
4.170647406E1,-3.126551211E-1,-1.535046101E0,-1.283643693E-1
4.195772528E1,9.193232059E-1,9.203884602E-1,-9.022790194E-1
4.220864081E1,-8.692557812E-1,-3.787015080E-1,1.165399313E0
4.245967841E1,-9.347695708E-1,-1.297492146E0,3.946804702E-1
4.271092963E1,2.344647169E0,9.667274952E-1,-2.795253992E0
4.296157050E1,2.583266199E-1,8.255799860E-2,1.099885583E0
4.321233344E1,-2.139050961E0,-9.917612076E-1,1.152083516E0
4.346373725E1,1.735848427E0,1.813080072E0,-2.318015575E0
4.371398139E1,4.671184719E-1,-3.249056637E-2,8.149272949E-2
4.396538520E1,-2.227468014E0,-9.976201653E-1,1.264468908E0
4.421654486E1,8.564726114E-1,1.855158091E0,-2.169411182E0
4.446788764E1,1.359277487E0,-1.107875034E-1,-3.957457542E-1
4.471877265E1,-1.641039848E0,-5.816344023E-1,2.214684725E0
4.496981024E1,2.418150306E-1,7.632619739E-1,-1.008272767E0
4.522109198E1,9.491506219E-1,9.171926975E-1,3.526025414E-1
4.547209906E1,-2.557167292E0,-1.443433285E0,2.079396248E0
4.572304511E1,2.631203234E-1,5.113269389E-2,-5.752427876E-2
4.597417426E1,1.068460226E0,1.301220536E0,-2.737729549E-1
4.622533393E1,-1.234641552E0,3.041329980E-1,3.099919558E-1
4.647676825E1,2.684466541E-1,-1.507881880E0,4.335626364E-1
4.672783637E1,-2.908172011E-1,1.919606566E0,-1.584580898E0
4.697911811E1,-1.002413869E0,-6.498113275E-2,9.528790712E-1
4.723030829E1,-8.617989421E-1,-2.006425619E0,1.075917125E0
4.748125434E1,2.586994648E0,9.992180467E-1,-3.136671305E0
4.773247504E1,-3.845604658E-1,5.374259353E-1,5.251753926E-1
4.798342108E1,-1.517469168E0,-1.177649856E0,1.174454093E0
4.823458075E1,1.502022862E0,1.684183121E0,-2.669552803E0
4.848583197E1,1.212803602E0,3.882888854E-1,1.198422536E-1
4.873668647E1,-2.121474266E0,-1.061536074E0,2.605104208E0
4.898815131E1,5.486112237E-1,2.199771106E-1,-1.672465205E0
4.923912787E1,9.097358584E-1,9.315737486E-1,4.207794741E-2
4.949025702E1,-1.620267272E0,-2.294047117E0,2.530535698E0
4.974126410E1,-6.854977012E-1,-5.539375171E-2,-1.826928556E-1
4.999254584E1,1.059938192E0,1.907888651E0,-1.400822699E-1
5.024349189E1,-3.113768101E0,3.621899337E-2,2.502306223E0
5.049471259E1,-2.838929892E-1,-1.166464567E0,-3.222424984E-1
5.074626898E1,9.225190282E-1,1.681519985E0,-1.211205721E0
5.099724555E1,-2.237587929E0,1.378984809E0,7.355651259E-1
5.124831366E1,-8.575379103E-2,-1.701759934E0,-1.821602285E-1
