"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.123970770E1,1.992000008E1,1.289999962E1,-3.323999786E1
4.149086737E1,1.721999931E1,1.475999928E1,-3.491999817E1
4.174187445E1,1.799999923E-1,3.192000008E1,-3.468000031E1
4.199315619E1,1.919999886E1,1.092000008E1,-3.179999924E1
4.224413275E1,1.661999893E1,1.163999939E1,-3.029999924E1
4.249510932E1,8.999999762E-1,3.131999969E1,-3.539999771E1
4.274629950E1,1.529999924E1,1.397999954E1,-3.318000031E1
4.299687934E1,2.003999901E1,8.579999924E0,-2.669999886E1
4.324776435E1,6.059999943E0,2.909999847E1,-3.875999832E1
4.349901557E1,1.001999950E1,2.195999908E1,-3.786000061E1
4.374953436E1,2.171999931E1,9.300000191E0,-2.705999947E1
4.400087714E1,9.779999733E0,2.495999908E1,-3.929999924E1
4.425179267E1,5.940000057E0,2.705999947E1,-3.636000061E1
4.450313544E1,1.992000008E1,1.019999981E1,-2.813999939E1
4.475420356E1,9.059999466E0,2.273999977E1,-3.659999847E1
4.500518012E1,1.439999938E0,3.413999939E1,-3.377999878E1
4.525658393E1,2.135999870E1,1.151999950E1,-2.885999870E1
4.550740790E1,1.842000008E1,1.715999985E1,-3.311999893E1
4.575856757E1,6.119999886E0,3.192000008E1,-3.300000000E1
4.600951361E1,2.442000008E1,1.434000015E1,-2.484000015E1
4.626088690E1,2.207999992E1,1.415999985E1,-2.645999908E1
4.651222968E1,6.839999676E0,2.526000023E1,-2.873999977E1
4.676323676E1,2.334000015E1,1.271999931E1,-2.993999863E1
4.701442694E1,2.381999969E1,1.038000011E1,-2.687999916E1
4.726576972E1,5.819999695E0,2.759999847E1,-3.534000015E1
4.751659369E1,1.847999954E1,1.217999935E1,-3.204000092E1
4.776778388E1,2.879999924E1,6.960000038E0,-2.777999878E1
4.801872992E1,1.115999985E1,2.310000038E1,-4.152000046E1
4.827007270E1,9.539999962E0,1.895999908E1,-3.491999817E1
4.852126288E1,2.465999985E1,6.299999714E0,-2.405999947E1
4.877223944E1,1.127999973E1,1.961999893E1,-3.491999817E1
4.902349066E1,5.279999733E0,2.345999908E1,-3.402000046E1
4.927440619E1,2.573999977E1,6.480000019E0,-2.550000000E1
4.952550482E1,1.296000004E1,1.421999931E1,-3.227999878E1
4.977666449E1,-1.199999973E-1,2.795999908E1,-3.288000107E1
5.002791571E1,2.363999939E1,6.899999619E0,-3.221999741E1
5.027895331E1,1.427999973E1,1.409999943E1,-3.887999725E1
5.053020453E1,-3.839999914E0,3.305999756E1,-4.157999802E1
5.078176093E1,2.561999893E1,7.679999828E0,-4.547999954E1
5.103246283E1,3.288000107E1,5.460000038E0,-3.870000076E1
5.128380561E1,8.220000267E0,2.663999939E1,-4.505999756E1
5.153462958E1,2.627999878E1,9.719999313E0,-3.479999924E1
5.178566718E1,3.000000000E1,6.119999886E0,-2.843999863E1
5.203688788E1,7.799999714E0,2.543999863E1,-3.827999878E1
5.228813910E1,1.385999966E1,1.800000000E1,-3.677999878E1
5.253948188E1,1.943999863E1,7.679999828E0,-2.237999916E1
5.279039740E1,3.599999905E0,2.807999992E1,-3.527999878E1
5.304140448E1,8.939999580E0,2.184000015E1,-3.318000031E1
5.329244208E1,2.015999985E1,8.279999733E0,-2.507999992E1
5.354375434E1,6.839999676E0,2.405999947E1,-3.605999756E1
5.379482245E1,2.519999981E0,2.759999847E1,-3.461999893E1
5.404576850E1,2.573999977E1,8.519999504E0,-2.759999847E1
5.429735541E1,1.871999931E1,1.415999985E1,-3.107999992E1
