"Time (s)","Illuminance (lx)"
1.087677534E2,2.222000000E3
1.090619734E2,2.184000000E3
1.094544294E2,2.258000000E3
1.099442671E2,2.415000000E3
1.103364180E2,2.329000000E3
1.106308210E2,2.257000000E3
1.109248579E2,2.044000000E3
1.112189863E2,1.978000000E3
1.115132978E2,2.000000000E3
1.118074873E2,2.018000000E3
1.121017378E2,2.156000000E3
1.123957136E2,2.181000000E3
1.126899641E2,2.161000000E3
1.130819929E2,2.135000000E3
1.134745100E2,2.053000000E3
1.137963484E2,1.930000000E3
1.141888960E2,1.901000000E3
1.144833906E2,2.023000000E3
1.147775801E2,2.058000000E3
1.150720137E2,2.084000000E3
1.153658979E2,2.102000000E3
1.156604841E2,2.081000000E3
1.159551313E2,2.050000000E3
1.162498091E2,2.112000000E3
1.165442732E2,2.146000000E3
1.168385542E2,2.190000000E3
1.171602095E2,2.302000000E3
1.174545515E2,2.503000000E3
1.177488935E2,2.549000000E3
1.180426863E2,2.769000000E3
1.183369978E2,2.862000000E3
1.185883406E2,6.800000000E1
1.190198591E2,1.236000000E3
1.196181257E2,1.612000000E3
1.202163313E2,1.552000000E3
1.208139570E2,1.836000000E3
1.210661848E2,2.225000000E3
1.215377424E2,1.922000000E3
1.221352766E2,1.890000000E3
1.227324751E2,2.070000000E3
1.229848249E2,2.368000000E3
1.234839704E2,1.693000000E3
1.240823896E2,1.782000000E3
1.246807478E2,1.802000000E3
1.252781904E2,1.946000000E3
1.259030073E2,2.016000000E3
1.261557234E2,6.719000000E3
1.264157942E2,4.738000000E3
1.266679914E2,7.412000000E3
1.269202192E2,6.797000000E3
1.271723555E2,5.303000000E3
1.274244306E2,7.432000000E3
1.276765364E2,7.115000000E3
1.279286726E2,5.668000000E3
1.281887739E2,7.531000000E3
1.284410932E2,6.565000000E3
1.286933210E2,6.216000000E3
1.289453352E2,5.465000000E3
1.291975630E2,8.472000000E3
1.294494856E2,8.070000000E3
1.297014997E2,5.337000000E3
1.299534223E2,8.078000000E3
1.302053518E2,8.815000000E3
1.304575490E2,4.698000000E3
1.307095327E2,7.947000000E3
1.309614553E2,8.344000000E3
1.312135915E2,4.685000000E3
1.314657277E2,6.991000000E3
1.317179555E2,8.490000000E3
1.319701833E2,5.365000000E3
1.322223195E2,8.421000000E3
1.324785146E2,1.265300000E4
1.327306814E2,6.945000000E3
1.329826650E2,4.995000000E3
1.332348623E2,8.199000000E3
1.334868764E2,7.701000000E3
1.337389821E2,4.841000000E3
1.339912710E2,7.838000000E3
1.342431020E2,8.659000000E3
1.345069875E2,5.156000000E3
1.347591543E2,8.321000000E3
1.350111074E2,9.008000000E3
1.352635488E2,4.973000000E3
1.355155935E2,7.552000000E3
1.357676076E2,9.503000000E3
1.360196523E2,6.093000000E3
1.362757253E2,1.047800000E4
1.365279226E2,8.778000000E3
1.367801809E2,5.831000000E3
1.370324392E2,1.060000000E4
1.372846975E2,9.132000000E3
1.375367116E2,7.688000000E3
1.377926931E2,5.646000000E3
1.380448293E2,9.791000000E3
1.382968435E2,8.682000000E3
1.385489797E2,4.727000000E3
1.388009939E2,8.866000000E3
1.390531911E2,8.898000000E3
1.393055105E2,5.012000000E3
1.395579213E2,8.708000000E3
1.398099660E2,9.296000000E3
1.400619192E2,4.736000000E3
1.403219289E2,1.641000000E4
1.405782461E2,9.385000000E3
1.408304128E2,5.680000000E3
1.410825796E2,1.253900000E4
1.413464956E2,9.005000000E3
1.415986928E2,6.421000000E3
1.418511342E2,1.634700000E4
1.421112356E2,1.272800000E4
1.423632497E2,1.650900000E4
1.426153859E2,7.140000000E3
1.428674917E2,1.176300000E4
1.431193838E2,9.880000000E3
1.433715505E2,5.550000000E3
1.436433095E2,9.137000000E3
1.439190358E2,7.720000000E3
1.441713247E2,5.089000000E3
1.444234304E2,9.732000000E3
1.446755056E2,1.047200000E4
1.449274892E2,5.050000000E3
1.451797475E2,9.827000000E3
1.454319143E2,4.049600000E4
1.456999807E2,5.195400000E4
1.459520254E2,5.002200000E4
1.462024195E2,6.710800000E4
1.464528162E2,5.893000000E3
1.467061121E2,5.583000000E3
1.469820825E2,1.252100000E4
1.472354700E2,6.635000000E3
1.474887964E2,4.968000000E3
1.477409937E2,1.689700000E4
1.479941370E2,8.041000000E3
1.482465174E2,4.646000000E3
1.484991419E2,1.096600000E4
1.487517053E2,1.093900000E4
1.490041468E2,3.871000000E3
1.492560694E2,7.325000000E3
1.495080835E2,7.072000000E3
1.497601892E2,3.948000000E3
1.500123560E2,7.621000000E3
1.502646448E2,1.112000000E4
1.505167810E2,5.151000000E3
1.507688562E2,5.945000000E3
1.510208704E2,1.285500000E4
1.512728015E2,7.568000000E3
1.515248462E2,4.806000000E3
1.517810107E2,9.001000000E3
1.520331469E2,8.903000000E3
1.522852832E2,3.907000000E3
1.525372973E2,8.709000000E3
1.527894336E2,8.973000000E3
1.530414172E2,4.512000000E3
