"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.531180774E2,8.501810074E0,1.730529022E1,1.384327412E1
1.533683215E2,9.385270476E-1,-3.380612850E0,1.640028119E0
1.536184131E2,2.018312073E1,6.995857239E0,-1.091755986E0
1.538686572E2,-3.088520288E0,7.685387611E0,6.224924326E-1
1.541187182E2,1.774103546E1,9.294290543E0,8.516175270E0
1.543706408E2,1.216015053E1,-2.475604534E0,2.135627985E0
1.546207934E2,2.784456491E0,1.105402946E1,9.193734527E-1
1.548710376E2,1.012268448E1,1.017535686E1,5.779603004E0
1.551213427E2,3.689464808E0,-8.892065048E0,-4.517858505E0
1.553714648E2,5.025429249E0,9.315838814E0,5.810727596E0
1.556215564E2,1.472434044E1,1.671870995E1,1.036928749E1
1.558718310E2,2.748543501E0,-6.217741966E0,-7.062895298E-1
1.561219531E2,9.588777542E0,1.559104156E1,4.034229755E0
1.563722583E2,7.860164165E0,1.486081028E1,2.633621931E0
1.566225940E2,2.123656988E0,-3.835511208E0,1.256955862E0
1.568728686E2,3.402400208E1,1.937866783E1,1.041717148E1
1.571231433E2,4.050989151E0,1.651999092E1,1.105163479E1
1.573733569E2,4.601655483E0,-3.742137194E0,1.486799240E0
1.576233874E2,2.129642487E1,8.142680168E0,4.029441357E0
1.578734179E2,-3.866635799E0,6.967126846E0,7.012616634E0
1.581237536E2,1.136767006E1,5.204994678E0,8.880094528E0
1.583739673E2,8.542511940E0,-2.853888512E0,2.384624958E0
1.586243335E2,-3.655946016E0,8.056488991E0,4.091690540E0
1.588744555E2,1.439154625E1,8.664615631E0,8.851364136E0
1.591248217E2,2.832340717E0,-7.438784599E0,-4.764461517E-1
1.593750048E2,7.477091789E0,8.626308441E0,1.872265697E0
1.596252490E2,1.028788471E1,1.454716969E1,1.105642319E1
1.598754321E2,2.537853718E-1,-7.175422668E0,-1.259350061E0
1.601255236E2,2.193328094E1,1.298375607E1,8.283938169E-1
1.603755236E2,1.007240677E1,1.435323906E1,8.722076416E0
1.606256762E2,5.793967843E-1,-4.333505154E0,7.182605099E-3
1.608758580E2,2.137543297E1,7.184999466E0,4.110844135E0
1.611259191E2,-2.645592928E0,1.331894398E1,5.240907669E0
1.613759496E2,1.037168217E1,1.891419291E-1,-1.185129881E0
1.616260411E2,1.280658531E1,-9.241618514E-1,-2.437297344E0
1.618764684E2,3.943250179E0,1.095586681E1,-5.315127969E-1
1.621266515E2,9.222464561E0,7.754819393E0,4.455609322E0
1.623783910E2,4.199429989E0,-9.684545517E0,-3.552995205E0
1.626297643E2,5.233725071E0,9.813833237E0,1.819593310E0
1.628809239E2,1.845450592E1,1.456632328E1,1.020887566E1
1.631319921E2,2.042253971E0,-7.354987621E0,5.243301988E-1
1.633829381E2,1.181299114E1,1.355597019E1,-2.114080191E0
1.636342504E2,1.589271069E1,1.766920853E1,6.658275127E0
1.638851659E2,1.819593310E0,-5.995080948E0,-1.268926859E0
1.641357152E2,2.640086174E1,1.638112831E1,5.841852427E-1
1.643871800E2,8.149862289E0,1.538274574E1,2.794033289E0
1.646382787E2,2.961627483E0,-2.092532396E0,1.503558636E0
1.648895909E2,2.138979721E1,6.181828976E0,-1.436520964E-1
1.651413610E2,-4.611232281E0,9.272743225E0,3.265691042E0
1.653926122E2,1.563413715E1,5.592854977E0,1.977610588E0
1.656439549E2,8.360552788E0,-6.409277916E0,8.092401624E-1
1.658945958E2,5.046977043E0,1.111627865E1,2.509123325E0
1.661458165E2,1.667082596E1,9.605537415E0,1.704671621E0
1.663965184E2,4.046200752E0,-9.986215591E0,-7.481880188E0
1.666476171E2,1.044350815E1,1.175313568E1,2.310404539E0
1.668995397E2,2.388694954E1,2.188539696E1,9.636661530E0
1.671506383E2,3.172317266E0,-6.873753071E0,-1.537077546E0
1.674022862E2,2.196919441E1,1.501643276E1,-2.343923569E0
1.676539952E2,1.151371574E1,1.628775406E1,1.029506698E-1
1.679054296E2,-9.217676520E-1,-6.651092529E0,1.881842494E0
1.681562535E2,3.016215324E1,1.540908241E1,7.647080421E0
1.684080541E2,-2.394201700E-3,1.106599998E1,7.532158375E0
1.686591222E2,6.291962147E0,-3.040636182E-1,-1.235408068E0
1.689104039E2,1.083855152E1,-2.765302896E0,-4.568136692E0
1.691616857E2,3.019088268E0,8.750806808E0,-7.230489254E-1
1.694127538E2,1.386961079E1,5.451597214E0,4.429273129E0
1.696636998E2,6.222530365E0,-7.429207802E0,-7.805097699E-1
1.699146764E2,3.660734415E0,7.292738438E0,2.226607651E-1
1.701660802E2,2.218946075E1,1.890222168E1,1.224155331E1
1.704174230E2,3.234566450E0,-7.187393665E0,-2.001552582E0
1.706687963E2,1.983356667E1,1.883279037E1,1.053448796E0
1.709202916E2,1.122401714E1,1.590707588E1,5.916072369E0
1.711715123E2,8.762778044E-1,-4.340687752E0,1.764526606E0
1.714227330E2,1.952950287E1,1.403959846E1,2.185906172E0
1.716740453E2,3.325546265E0,1.178186703E1,3.763684988E0
1.719248693E2,3.493140221E0,-5.865794420E-1,8.164227605E-1
1.721752355E2,1.460941887E1,4.173093796E0,-3.914519787E0
1.724262120E2,-3.689464808E0,7.632715225E0,8.523358107E-1
1.726775243E2,1.212184334E1,6.035782337E0,3.600879431E0
1.729280736E2,1.156159973E1,-4.979939461E0,4.165911078E-1
1.731789891E2,9.337386489E-1,6.787561893E0,3.227383852E0
1.734299352E2,1.363018990E1,1.277306652E1,6.258443356E0
1.736811864E2,1.912967205E0,-7.098807812E0,-1.110909581E0
1.739324071E2,1.157596493E1,1.173877048E1,9.816226959E-1
1.741833531E2,9.696516991E0,1.322796440E1,4.726154327E0
1.744346044E2,-2.777273953E-1,-3.643975019E0,4.070143029E-2
1.746862828E2,3.168247032E1,1.394622517E1,4.417302132E0
1.749376866E2,8.997409821E0,1.811931801E1,6.665457726E0
1.751889073E2,3.694253206E0,-2.861071110E0,2.990357876E0
1.754396703E2,6.732495308E0,-2.987963676E0,-5.686229229E0
1.756907994E2,-5.042188644E0,1.116895103E1,5.679046631E0
1.759422948E2,1.939542770E1,5.267243862E0,-1.120486379E0
1.761934850E2,1.213142014E1,-5.980715752E0,2.944868207E-1
1.764447057E2,2.887407303E0,1.022563553E1,-6.605602264E0
1.766956517E2,1.497812557E1,1.132457447E1,-8.475474119E-1
1.769468114E2,2.736572504E0,-1.155681133E1,-3.131615877E0
1.771977880E2,1.522712231E0,8.968679428E0,-4.548983276E-1
1.774491002E2,1.541387081E1,1.681926727E1,3.507505417E0
1.777005956E2,4.788403511E0,-3.210624456E0,-8.283938169E-1
1.779518773E2,1.876814651E1,1.044111347E1,-2.753331959E-1
1.782032811E2,8.815450668E0,1.446337223E1,3.157952070E0
1.784546239E2,-6.224924326E-2,-5.841852188E0,2.662352324E0
1.787049291E2,3.721546936E1,1.797087860E1,9.588777542E0
1.789563329E2,-4.807557106E0,9.528923035E0,8.523358345E0
1.792068212E2,5.743690014E0,-7.134721279E-1,6.303933144E0
1.794581334E2,7.414842606E0,-5.185841084E0,-8.535328865E0
1.797088048E2,-9.768342972E-1,8.690952301E0,4.266467571E0
1.799605443E2,1.863407135E1,8.805873871E0,4.537012100E0
1.802121923E2,4.879383087E0,-1.140837097E1,-3.519476354E-1
1.804633519E2,4.663905144E0,7.682993412E0,9.097966552E-2
1.807144200E2,2.120065689E1,1.567723274E1,9.746794701E0
1.809649083E2,1.742978811E0,-8.901641846E0,-1.551442742E0
1.812159459E2,9.244012833E0,1.383609200E1,-2.248155355E0
1.814664037E2,1.670913315E1,1.844253540E1,5.480327606E0
1.817179906E2,9.911994934E-1,-4.953603268E0,-2.753331959E-1
1.819682958E2,3.273352432E1,2.223734474E1,3.392583847E0
1.822197301E2,5.726930618E0,1.517923832E1,4.817133904E0
1.824711339E2,8.212111592E-1,-5.149928093E0,2.959233284E0
1.827229955E2,2.879745865E1,1.187045193E1,2.444479942E0
1.829740941E2,-7.003039837E0,7.060500622E0,3.275267839E0
1.832257421E2,1.231577396E1,3.632004023E0,4.012681961E0
1.834773900E2,1.174834728E1,-1.515529633E0,-1.989581585E0
1.837283360E2,-3.009511471E0,8.291120529E0,5.422866821E0
1.839783360E2,7.314286232E0,9.196128845E0,2.121262789E0
1.842294347E2,7.852981567E0,-7.809885979E0,-1.053448766E-1
1.844811437E2,3.725377798E0,1.027351952E1,1.290474772E0
1.847322728E2,2.541445160E1,2.188779259E1,1.129823780E1
1.849833714E2,6.631938815E-1,-1.022802925E1,-2.193088770E0
1.852344701E2,1.446816063E1,1.533725643E1,-1.819593310E-1
1.854853551E2,1.917037392E1,1.995567131E1,7.029376030E0
1.857371556E2,-6.129156351E-1,-8.118738174E0,2.154781520E-1
1.859890477E2,3.389231873E1,2.097320747E1,2.154781580E0
1.862399938E2,8.092401505E0,1.491587639E1,3.464409828E0
1.864901158E2,2.133233786E0,-5.209783077E0,8.930372596E-1
1.867410008E2,2.641043854E1,8.808267593E0,-2.566584110E0
1.869927098E2,-4.819528103E0,8.485051155E0,6.105214357E-1
1.872443578E2,1.070208168E1,2.901772499E0,7.110779285E-1
1.874944188E2,9.873687744E0,-6.335057735E0,5.410895944E-1
1.877460362E2,-7.086837292E-1,8.116343498E0,3.543418407E0
1.879970738E2,1.905305672E1,1.444421864E1,7.757213712E-1
1.882478673E2,1.733402014E0,-1.256237602E1,-2.760514498E0
1.884989354E2,9.138668060E0,1.266293240E1,2.262520552E0
1.887504613E2,2.119586754E1,2.162442970E1,8.015787125E0
1.890023534E2,7.254431248E-1,-6.332663536E0,1.120486379E0
1.892536046E2,2.583343697E1,2.028846550E1,-2.090138197E0
1.895049474E2,8.169015884E0,1.563653088E1,6.217741966E0
1.897561986E2,2.379836559E0,-5.171475887E0,8.619125932E-2
1.900074193E2,3.407427979E1,1.301009178E1,1.048181534E1
1.902581822E2,2.691082716E0,1.400607967E1,6.639121532E0
1.905091893E2,5.767632008E0,-2.080561161E0,3.287238836E0
1.907597081E2,6.667851925E0,-2.815581083E0,-5.355829239E0
1.910111119E2,-3.287238836E0,8.070854187E0,-2.023100376E0
1.912622716E2,1.443943024E1,1.125514221E1,1.879448295E0
1.915126988E2,1.182735634E1,-5.803544998E0,3.426102638E0
1.917640919E2,1.237802267E0,1.062067890E1,2.729389966E-1
1.920154652E2,2.239775658E1,2.631467056E1,6.303933144E0
1.922655568E2,1.905784607E0,-8.475474358E0,-9.720458984E-1
1.925167469E2,1.554794598E1,1.897644234E1,-2.652775526E0
1.927685170E2,1.217690945E1,1.709460068E1,7.048529625E0
1.930185170E2,2.449268341E0,-5.224148273E0,2.394201700E-3
1.932693104E2,2.684857750E1,1.825578880E1,9.090784073E0
1.935207753E2,2.741360903E0,1.319205093E1,2.743755102E0
1.937723011E2,2.094926596E0,-2.075772762E0,1.900996208E0
1.940223622E2,1.268208599E1,6.138733387E0,-5.540182590E0
1.942735524E2,-9.646238327E0,4.218583584E0,-1.941697598E0
1.945251393E2,1.520078659E1,1.048899746E1,3.746925592E0
1.947765126E2,1.034774017E1,-6.157886982E0,1.941697598E0
1.950269093E2,2.834734917E0,8.006210327E0,2.825158119E0
1.952781910E2,1.695334244E1,1.605551720E1,8.358158112E0
1.955292286E2,5.003881454E-1,-1.009395409E1,-8.403648138E-1
1.957796559E2,1.291911221E1,1.592622948E1,-5.276820660E0
1.960306935E2,8.564059258E0,1.186805820E1,1.050096893E1
1.962823109E2,6.512228847E-1,-7.357381821E0,-1.106121182E0
1.965341114E2,2.350866699E1,1.787032127E1,1.029506698E-1
1.967852406E2,6.442796707E0,1.210987186E1,5.564124584E0
1.970361561E2,1.039083481E0,-4.096478939E0,1.249773264E0
1.972871022E2,4.058411407E1,1.824621201E1,7.896077156E0
1.975388722E2,2.166752577E0,1.225352383E1,4.795586109E0
1.977899708E2,6.203376770E0,-7.278373241E-1,1.465251446E0
1.980401844E2,1.241154194E1,5.506663769E-2,-4.412513733E0
1.982917714E2,-3.438073635E0,6.232107162E0,1.333570361E0
1.985429921E2,1.563413715E1,1.067095661E1,5.149928093E0
1.987940602E2,5.892130375E0,-1.004128170E1,-5.075707436E-1
1.990455555E2,2.645592928E0,9.464279175E0,3.349488258E0
1.992960133E2,2.119586754E1,1.749921989E1,1.304361057E1
1.995475392E2,-4.548983276E-1,-1.026394272E1,-3.938461781E0
1.997988514E2,1.211705494E1,1.403002167E1,-5.482721925E-1
2.000507435E2,9.210494041E0,1.516966152E1,7.386112213E0
2.003015370E2,2.913743496E0,-4.692635536E0,-7.206547260E-1
2.005530018E2,2.880463982E1,1.678814316E1,2.039859772E0
2.008044972E2,3.349488258E0,1.275151825E1,4.630385876E0
2.010556569E2,2.738966703E0,-1.745373011E0,1.874659896E0
2.013059905E2,4.187458992E0,1.225831270E0,-4.730942726E0
2.015574248E2,-3.258508444E0,8.865729332E0,5.559336185E0
2.018088286E2,1.481771469E1,9.387664795E0,-6.584054828E-1
2.020598052E2,9.114726067E0,-5.082890034E0,-1.321599364E0
2.023112090E2,7.953537941E0,1.171243477E1,-2.758120298E0
2.025619414E2,2.081997871E1,2.280237770E1,1.114979744E1
2.028134062E2,8.523358107E-1,-1.123598862E1,-1.151610970E0
2.030646269E2,1.343865395E1,1.951034927E1,-2.231395960E0
2.033164580E2,1.190397072E1,1.611776543E1,3.663128614E-1
