"Time (s)","Illuminance (lx)"
9.592617356E1,5.900000000E1
9.652291428E1,5.900000000E1
9.741683518E1,5.900000000E1
9.771563014E1,5.700000000E1
9.821209010E1,5.800000000E1
9.851079616E1,6.000000000E1
9.910762843E1,5.900000000E1
9.980287990E1,5.900000000E1
1.006980825E2,5.900000000E1
1.014936148E2,6.000000000E1
1.021886526E2,6.000000000E1
1.030838858E2,6.000000000E1
1.034815603E2,6.200000000E1
1.037790457E2,6.100000000E1
1.041767507E2,5.900000000E1
1.047733999E2,6.000000000E1
1.054699026E2,6.100000000E1
1.058674246E2,5.800000000E1
1.062652822E2,5.900000000E1
1.065627066E2,6.100000000E1
1.071591726E2,6.000000000E1
1.078553396E2,5.900000000E1
1.081526724E2,6.200000000E1
1.087491690E2,6.200000000E1
1.090480886E2,6.000000000E1
1.096443716E2,6.000000000E1
1.099418569E2,6.300000000E1
1.104395071E2,6.200000000E1
1.107369924E2,5.900000000E1
1.111344534E2,6.000000000E1
1.114335256E2,6.200000000E1
1.120298086E2,6.100000000E1
1.124272695E2,6.000000000E1
1.131226736E2,6.100000000E1
1.139180227E2,6.100000000E1
1.147133718E2,6.200000000E1
1.152110830E2,6.200000000E1
1.155087210E2,6.100000000E1
1.162051016E2,6.000000000E1
1.165025259E2,6.300000000E1
1.170002371E2,6.300000000E1
1.172976004E2,6.000000000E1
1.176952749E2,6.100000000E1
1.179942556E2,6.400000000E1
1.184906546E2,6.300000000E1
1.190867849E2,6.200000000E1
1.193858267E2,6.400000000E1
1.199824453E2,6.400000000E1
1.202801748E2,6.300000000E1
1.210751577E2,6.400000000E1
1.217717214E2,6.400000000E1
1.221694570E2,6.200000000E1
1.225671926E2,6.300000000E1
1.228647390E2,6.400000000E1
1.234610525E2,6.300000000E1
1.242563406E2,6.200000000E1
1.248528677E2,6.100000000E1
1.251517874E2,5.800000000E1
1.258472830E2,5.900000000E1
1.263449942E2,6.100000000E1
1.270401541E2,6.000000000E1
1.275376516E2,6.100000000E1
1.278351675E2,6.200000000E1
1.281339346E2,6.100000000E1
1.285315737E2,6.000000000E1
1.292268557E2,6.100000000E1
1.295255007E2,6.200000000E1
1.298230776E2,6.100000000E1
1.301220278E2,5.900000000E1
1.306183657E2,6.000000000E1
1.313146242E2,6.000000000E1
1.317124209E2,5.800000000E1
1.323089480E2,5.900000000E1
1.326065859E2,6.200000000E1
1.332030520E2,6.100000000E1
1.339984621E2,6.100000000E1
1.347936892E2,6.200000000E1
1.350925173E2,6.000000000E1
1.356889223E2,6.100000000E1
1.363839602E2,6.100000000E1
1.371790957E2,6.100000000E1
1.374778933E2,6.300000000E1
1.379741091E2,6.200000000E1
1.383716005E2,6.000000000E1
