"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.930313110E1,1.384843793E-2,-2.663161233E-2,-1.065264456E-2
2.955352783E1,4.793690052E-3,1.118527725E-2,6.924218964E-3
2.980392456E1,-3.728425596E-3,3.195793368E-3,-1.118527725E-2
3.005422974E1,2.396845073E-2,-1.597896684E-3,-1.544633508E-2
3.030465698E1,1.438106969E-2,1.651159860E-2,-5.858954508E-3
3.055508423E1,1.810949668E-2,-2.663161140E-3,-1.012001187E-2
3.080581665E1,1.810949668E-2,-1.331580617E-2,3.728425596E-3
3.105621338E1,7.989482954E-3,-9.054748341E-3,1.544633508E-2
3.130673218E1,8.522115648E-3,0.000000000E0,2.290318534E-2
3.155725098E1,8.522115648E-3,4.793690052E-3,6.924218964E-3
3.180795288E1,0.000000000E0,-5.326322280E-3,0.000000000E0
3.205859375E1,4.261057824E-3,-5.326322280E-4,-4.261057824E-3
3.230914307E1,1.118527725E-2,-3.728425596E-3,7.989482954E-3
3.255938721E1,-1.118527725E-2,1.225054078E-2,2.290318534E-2
3.280987549E1,-9.054748341E-3,-4.793690052E-3,1.384843793E-2
3.306021118E1,-4.261057824E-3,1.278317347E-2,-5.326322280E-3
3.331072998E1,6.391586736E-3,7.456851192E-3,4.793690052E-3
3.356124878E1,-2.130528912E-3,2.290318534E-2,1.651159860E-2
3.381179810E1,5.326322280E-3,0.000000000E0,-5.326322280E-3
3.406219482E1,-3.142530099E-2,3.249056637E-2,2.929477207E-2
3.431265259E1,-8.522115648E-3,-1.065264456E-3,-3.728425596E-3
3.456329346E1,3.728425596E-3,-4.793690052E-3,4.261057824E-3
3.481390381E1,7.989482954E-3,1.757686399E-2,6.924218964E-3
3.506423950E1,-1.651159860E-2,3.195793368E-3,-2.130528912E-3
3.531463623E1,4.793690052E-3,3.462109342E-2,5.858954508E-3
3.556515503E1,7.456851192E-3,9.054748341E-3,-1.171790902E-2
3.581570435E1,2.609897964E-2,-1.651159860E-2,-4.793690052E-3
3.606597976E1,7.989482954E-3,-1.757686399E-2,-9.054748341E-3
3.631631546E1,7.989482954E-3,7.456851192E-3,1.065264456E-3
3.656683426E1,-2.663161140E-3,2.130528912E-2,1.225054078E-2
3.681729202E1,-3.089267015E-2,-1.544633508E-2,8.522115648E-3
3.706784134E1,-3.302319720E-2,-1.970739290E-2,-1.171790902E-2
3.731817703E1,-5.273059011E-2,-4.367584363E-2,-9.587380104E-3
3.756857376E1,1.065264456E-2,-8.522115648E-3,2.663161140E-3
3.781918411E1,1.810949668E-2,-1.225054078E-2,-6.391586736E-3
3.806967239E1,1.757686399E-2,1.544633508E-2,-7.456851192E-3
3.832016067E1,2.077265643E-2,2.237055451E-2,3.195793368E-3
3.857061843E1,-2.609897964E-2,3.195793368E-3,-1.597896591E-2
3.882113723E1,-4.793690052E-3,-6.924218964E-3,-4.261057824E-3
3.907165603E1,-7.456851192E-3,-3.195793368E-3,9.587380104E-3
3.932232742E1,-3.728425596E-3,4.793690052E-3,2.130528912E-3
3.957287674E1,-2.343581803E-2,-4.367584363E-2,-1.171790902E-2
3.982330398E1,1.597896684E-3,-1.225054078E-2,-1.597896684E-3
4.007379226E1,-2.663161233E-2,2.396845073E-2,1.810949668E-2
4.032431106E1,-7.989482954E-3,1.757686399E-2,-2.130528912E-3
4.057476882E1,-6.391586736E-3,6.391586736E-3,-5.858954508E-3
4.082550125E1,2.183792181E-2,-2.237055451E-2,-2.237055451E-2
4.107595901E1,3.195793368E-3,-6.924218964E-3,9.587380104E-3
4.132663040E1,4.261057824E-3,9.054748341E-3,2.130528912E-3
4.157708816E1,-5.858954508E-3,5.326322280E-4,6.391586736E-3
4.182751541E1,1.012001187E-2,-1.544633508E-2,-3.195793368E-3
4.207797317E1,2.024002373E-2,-8.522115648E-3,0.000000000E0
