"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.670678456E2,3.711012602E-1,2.542642117E0,9.308655739E0
1.673183644E2,1.604115069E-1,2.454056740E0,9.215282440E0
1.675687306E2,2.992752194E-1,2.528276920E0,9.459490776E0
1.678192800E2,3.687070608E-1,2.501940727E0,9.325415611E0
1.680699513E2,3.734954596E-1,2.509123325E0,9.301473618E0
1.683204396E2,3.232172430E-1,2.451662540E0,9.289502144E0
1.685709279E2,3.543418646E-1,2.523488522E0,9.301473618E0
1.688213552E2,3.806780577E-1,2.576161146E0,9.145850182E0
1.690717214E2,3.902548850E-1,2.528276920E0,9.481039047E0
1.693223622E2,3.327940404E-1,2.516305923E0,9.339780807E0
1.695727895E2,3.471592367E-1,2.516305923E0,9.303867340E0
1.698232472E2,3.064578176E-1,2.451662540E0,9.114726067E0
1.700737660E2,3.782838583E-1,2.588132143E0,9.272743225E0
1.703242543E2,3.687070608E-1,2.545036316E0,9.330204010E0
1.705747426E2,3.974374831E-1,2.559401512E0,9.148244858E0
1.708252614E2,4.141969085E-1,2.619256735E0,9.246406555E0
1.710758412E2,3.782838583E-1,2.592920542E0,9.320627213E0
1.713263600E2,3.830722570E-1,2.612074137E0,9.253589630E0
1.715769399E2,4.261679053E-1,2.645592928E0,9.196128845E0
1.718273976E2,4.333505034E-1,2.636016130E0,9.366117477E0
1.720778554E2,4.189853072E-1,2.645592928E0,9.081207275E0
1.723284047E2,4.046200812E-1,2.647987127E0,8.927978516E0
1.725788625E2,4.333505034E-1,2.662352324E0,9.193734169E0
1.728293202E2,4.932055473E-1,2.669534922E0,9.014169693E0
1.730797170E2,4.046200812E-1,2.655169725E0,9.205705643E0
1.733303273E2,3.663128614E-1,2.671929121E0,9.277531624E0
1.735808156E2,3.208230138E-1,2.571372509E0,9.205705643E0
1.738313039E2,3.303998411E-1,2.609679937E0,9.272743225E0
1.740817922E2,5.003881454E-1,2.647987127E0,9.124302864E0
1.743322194E2,3.734954596E-1,2.624045134E0,9.227252960E0
1.745827687E2,4.165911078E-1,2.638410330E0,9.272743225E0
1.748335011E2,3.543418646E-1,2.612074137E0,9.354146004E0
1.750840199E2,3.256114423E-1,2.557007313E0,9.248801231E0
1.753346608E2,4.357447028E-1,2.624045134E0,9.172186852E0
1.755851186E2,3.711012602E-1,2.588132143E0,9.138668060E0
1.758357594E2,3.830722570E-1,2.573766708E0,9.299078941E0
1.760862172E2,3.687070608E-1,2.588132143E0,9.198522568E0
1.763366750E2,4.237737060E-1,2.602497339E0,9.265560150E0
1.765872243E2,5.027823448E-1,2.607285738E0,9.356540680E0
1.768378346E2,4.285621047E-1,2.583343744E0,9.117119789E0
1.770882619E2,4.788403511E-1,2.612074137E0,9.404424667E0
1.773389028E2,4.118026793E-1,2.559401512E0,9.385271072E0
1.775893300E2,3.854664862E-1,2.628833532E0,9.260771751E0
1.778397573E2,4.022258818E-1,2.585737944E0,9.160215378E0
1.780900319E2,4.429273009E-1,2.609679937E0,9.258378029E0
1.783407948E2,3.399766386E-1,2.621650934E0,9.062053680E0
1.785910695E2,3.854664862E-1,2.602497339E0,9.346963882E0
1.788416188E2,2.777273953E-1,2.523488522E0,9.313444138E0
1.790921071E2,3.543418646E-1,2.573766708E0,9.327810287E0
1.793425344E2,3.280056417E-1,2.566584110E0,9.382876396E0
1.795931447E2,2.753331959E-1,2.542642117E0,9.179368973E0
1.798437551E2,3.136404157E-1,2.545036316E0,9.315838814E0
1.800942128E2,3.519476354E-1,2.624045134E0,9.186552048E0
1.803447927E2,2.896983922E-1,2.540247917E0,9.334992409E0
1.805950063E2,3.040636182E-1,2.564189911E0,9.521739960E0
1.808455861E2,2.968810201E-1,2.497152328E0,9.181763649E0
1.810958303E2,3.256114423E-1,2.542642117E0,9.265560150E0
1.813465016E2,4.165911078E-1,2.597708941E0,9.327810287E0
1.815970204E2,3.160346150E-1,2.511517525E0,9.258378029E0
1.818475698E2,3.567360640E-1,2.545036316E0,9.222464561E0
1.820981191E2,3.591302633E-1,2.542642117E0,9.418789864E0
1.823485768E2,2.992752194E-1,2.528276920E0,9.251194954E0
1.825989736E2,2.920926213E-1,2.492363930E0,9.473855972E0
1.828494618E2,3.136404157E-1,2.592920542E0,9.136273384E0
1.830998891E2,3.280056417E-1,2.535459518E0,9.186552048E0
1.833502553E2,2.561795712E-1,2.494758129E0,9.466673851E0
