"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.023198477E2,2.003999901E1,2.255999947E1,-4.181999969E1
1.025743643E2,2.027999878E1,2.202000046E1,-4.241999817E1
1.028287893E2,2.010000038E1,2.285999870E1,-4.170000076E1
1.030831839E2,2.034000015E1,2.250000000E1,-4.175999832E1
1.033377005E2,2.063999939E1,2.231999969E1,-4.145999908E1
1.035922171E2,2.105999947E1,2.292000008E1,-4.152000046E1
1.038465505E2,1.997999954E1,2.292000008E1,-4.175999832E1
1.041010366E2,2.100000000E1,2.279999924E1,-4.193999863E1
1.043556753E2,2.153999901E1,2.213999939E1,-4.157999802E1
1.046102224E2,2.093999863E1,2.202000046E1,-4.139999771E1
1.048647695E2,2.093999863E1,2.195999908E1,-4.152000046E1
1.051191946E2,2.093999863E1,2.273999977E1,-4.218000031E1
1.053737417E2,1.968000031E1,2.297999954E1,-4.145999908E1
1.056281973E2,2.129999924E1,2.261999893E1,-4.139999771E1
1.058826528E2,2.034000015E1,2.237999916E1,-4.163999939E1
1.061372610E2,2.100000000E1,2.376000023E1,-4.170000076E1
1.063918997E2,2.039999962E1,2.357999992E1,-4.157999802E1
1.066461721E2,2.003999901E1,2.363999939E1,-4.163999939E1
1.069006277E2,2.057999992E1,2.315999985E1,-4.127999878E1
1.071551138E2,2.039999962E1,2.351999855E1,-4.187999725E1
1.074094168E2,1.985999870E1,2.327999878E1,-4.223999786E1
1.076638113E2,2.147999954E1,2.327999878E1,-4.193999863E1
1.079182363E2,2.142000008E1,2.387999916E1,-4.187999725E1
1.081725088E2,2.087999916E1,2.393999863E1,-4.236000061E1
1.084271475E2,2.118000031E1,2.237999916E1,-4.200000000E1
1.086814810E2,2.087999916E1,2.310000038E1,-4.187999725E1
1.089359976E2,2.087999916E1,2.321999931E1,-4.211999893E1
1.091904531E2,2.057999992E1,2.292000008E1,-4.218000031E1
1.094448172E2,2.100000000E1,2.310000038E1,-4.157999802E1
1.096992727E2,2.076000023E1,2.219999886E1,-4.163999939E1
1.099537588E2,2.057999992E1,2.268000031E1,-4.229999924E1
1.102083364E2,2.129999924E1,2.279999924E1,-4.205999756E1
1.104626394E2,2.105999947E1,2.255999947E1,-4.181999969E1
1.107170645E2,2.118000031E1,2.237999916E1,-4.181999969E1
1.109714285E2,2.069999886E1,2.315999985E1,-4.211999893E1
1.112259756E2,2.057999992E1,2.279999924E1,-4.175999832E1
1.114806143E2,2.015999985E1,2.243999863E1,-4.205999756E1
1.117350393E2,2.069999886E1,2.376000023E1,-4.163999939E1
1.119893728E2,2.105999947E1,2.327999878E1,-4.187999725E1
