"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.067872653E2,2.142000008E1,3.209999847E1,-5.957999802E1
1.070384555E2,2.142000008E1,3.192000008E1,-5.969999695E1
1.072897067E2,2.202000046E1,3.227999878E1,-6.041999817E1
1.075405917E2,2.207999992E1,3.150000000E1,-6.053999710E1
1.077917819E2,2.111999893E1,3.204000092E1,-5.975999832E1
1.080428805E2,2.129999924E1,3.143999863E1,-5.981999969E1
1.082940402E2,2.129999924E1,3.209999847E1,-5.921999741E1
1.085453219E2,2.153999901E1,3.143999863E1,-6.000000000E1
1.087965121E2,2.160000038E1,3.185999870E1,-6.041999817E1
1.090477328E2,2.160000038E1,3.192000008E1,-5.957999802E1
1.092989230E2,2.123999977E1,3.173999977E1,-5.969999695E1
1.095500217E2,2.184000015E1,3.173999977E1,-5.927999878E1
1.098009067E2,2.045999908E1,3.173999977E1,-6.077999878E1
1.100520969E2,2.250000000E1,3.167999840E1,-6.071999741E1
1.103033481E2,2.195999908E1,3.270000076E1,-6.035999680E1
1.105544467E2,2.118000031E1,3.173999977E1,-6.023999786E1
1.108056369E2,2.160000038E1,3.221999741E1,-5.969999695E1
1.110568271E2,2.123999977E1,3.185999870E1,-5.957999802E1
1.113078952E2,2.087999916E1,3.185999870E1,-5.975999832E1
1.115589938E2,2.147999954E1,3.227999878E1,-5.952000046E1
1.118101840E2,2.171999931E1,3.161999893E1,-5.987999725E1
1.120615268E2,2.171999931E1,3.245999908E1,-5.957999802E1
1.123127170E2,2.105999947E1,3.215999985E1,-5.885999680E1
1.125639072E2,2.100000000E1,3.197999954E1,-6.011999893E1
1.128151584E2,2.184000015E1,3.155999947E1,-5.957999802E1
1.130660739E2,2.153999901E1,3.192000008E1,-6.023999786E1
1.133173251E2,2.142000008E1,3.185999870E1,-5.873999786E1
1.135683627E2,2.118000031E1,3.192000008E1,-6.029999924E1
1.138195834E2,2.135999870E1,3.131999969E1,-5.934000015E1
1.140708346E2,2.195999908E1,3.209999847E1,-5.903999710E1
1.143220859E2,2.207999992E1,3.234000015E1,-6.023999786E1
1.145733676E2,2.147999954E1,3.185999870E1,-5.957999802E1
1.148244662E2,2.105999947E1,3.185999870E1,-5.952000046E1
1.150755649E2,2.135999870E1,3.234000015E1,-5.993999863E1
1.153266330E2,2.177999878E1,3.137999916E1,-6.041999817E1
1.155779452E2,2.165999985E1,3.173999977E1,-6.095999908E1
1.158290744E2,2.153999901E1,3.137999916E1,-5.975999832E1
1.160803866E2,2.243999863E1,3.131999969E1,-6.000000000E1
1.163315158E2,2.147999954E1,3.234000015E1,-5.927999878E1
1.165826144E2,2.147999954E1,3.126000023E1,-6.000000000E1
1.168339877E2,2.226000023E1,3.221999741E1,-6.023999786E1
1.170852084E2,2.184000015E1,3.179999924E1,-6.089999771E1
1.173363681E2,2.160000038E1,3.227999878E1,-5.981999969E1
1.175877109E2,2.165999985E1,3.173999977E1,-5.915999985E1
1.178388400E2,2.195999908E1,3.089999962E1,-6.035999680E1
1.180899692E2,2.142000008E1,3.155999947E1,-5.975999832E1
1.183412204E2,2.135999870E1,3.239999771E1,-6.018000031E1
1.185922275E2,2.153999901E1,3.227999878E1,-5.993999863E1
1.188432956E2,2.147999954E1,3.179999924E1,-5.897999954E1
1.190946384E2,2.147999954E1,3.143999863E1,-5.987999725E1
1.193458285E2,2.100000000E1,3.119999886E1,-6.041999817E1
1.195970187E2,2.111999893E1,3.185999870E1,-5.963999939E1
1.198482089E2,2.160000038E1,3.227999878E1,-6.041999817E1
1.200993686E2,2.165999985E1,3.209999847E1,-5.981999969E1
1.203504062E2,2.165999985E1,3.197999954E1,-6.018000031E1
1.206016574E2,2.129999924E1,3.192000008E1,-5.939999771E1
1.208528781E2,2.202000046E1,3.119999886E1,-6.000000000E1
1.211041904E2,2.142000008E1,3.173999977E1,-5.957999802E1
1.213555331E2,2.153999901E1,3.227999878E1,-5.939999771E1
1.216067538E2,2.147999954E1,3.173999977E1,-6.018000031E1
1.218580966E2,2.123999977E1,3.215999985E1,-6.023999786E1
1.221091952E2,2.213999939E1,3.150000000E1,-5.981999969E1
