"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.446285787E1,0.000000000E0,-1.065264456E-3,2.663161140E-3
9.471401754E1,-1.597896684E-3,1.065264456E-3,-2.130528912E-3
9.496523824E1,0.000000000E0,1.597896684E-3,-2.130528912E-3
9.521645894E1,-2.130528912E-3,0.000000000E0,-3.195793368E-3
9.546761861E1,5.326322280E-4,2.663161140E-3,4.261057824E-3
9.571868673E1,-1.065264456E-3,-1.597896684E-3,0.000000000E0
9.597009054E1,-1.065264456E-3,1.065264456E-3,-1.065264456E-3
9.622112813E1,-5.326322280E-4,-1.065264456E-3,0.000000000E0
9.647225728E1,5.326322280E-4,-1.597896684E-3,-1.597896684E-3
9.672347799E1,1.065264456E-3,1.065264456E-3,-5.326322280E-4
9.697472921E1,-1.065264456E-3,-5.326322280E-4,-1.597896684E-3
9.722585836E1,1.065264456E-3,1.597896684E-3,5.326322280E-4
9.747723165E1,-1.065264456E-3,2.130528912E-3,1.597896684E-3
9.772848287E1,-1.597896684E-3,0.000000000E0,0.000000000E0
9.797982564E1,0.000000000E0,-5.326322280E-4,2.130528912E-3
9.823101583E1,-5.326322280E-4,-1.597896684E-3,-4.793690052E-3
9.848223653E1,5.326322280E-4,5.326322280E-4,-2.130528912E-3
9.873351827E1,0.000000000E0,-1.065264456E-3,-5.326322280E-4
9.898470846E1,-5.326322280E-4,-1.597896684E-3,-2.130528912E-3
9.923592916E1,-1.597896684E-3,5.326322280E-4,1.065264456E-3
9.948718038E1,3.195793368E-3,-1.597896684E-3,-5.326322280E-4
9.973834005E1,-2.130528912E-3,1.065264456E-3,-2.130528912E-3
9.998962179E1,-1.597896684E-3,5.326322280E-4,-1.065264456E-3
1.002407815E2,5.326322280E-4,-1.065264456E-3,-1.065264456E-3
1.004918496E2,-1.065264456E-3,1.597896684E-3,5.326322280E-4
1.007431008E2,5.326322280E-4,5.326322280E-4,5.326322280E-4
1.009940774E2,1.065264456E-3,-5.326322280E-4,0.000000000E0
1.012453286E2,5.326322280E-4,-2.130528912E-3,-1.065264456E-3
1.014965798E2,1.065264456E-3,5.326322280E-4,2.130528912E-3
1.017477395E2,5.326322280E-4,1.065264456E-3,-1.597896684E-3
1.019987771E2,5.326322280E-4,-1.065264456E-3,1.065264456E-3
1.022498202E2,-2.663161140E-3,2.130528912E-3,-2.130528912E-3
1.025009799E2,-5.326322280E-4,5.326322280E-4,0.000000000E0
1.027521396E2,-1.065264456E-3,1.065264456E-3,5.326322280E-4
1.030035434E2,-1.597896684E-3,5.326322280E-4,-5.326322280E-4
1.032546420E2,-5.326322280E-4,0.000000000E0,-5.326322280E-4
1.035058017E2,5.326322280E-4,-1.065264456E-3,1.597896684E-3
1.037569919E2,-1.065264456E-3,0.000000000E0,0.000000000E0
1.040081515E2,-5.326322280E-4,1.597896684E-3,1.597896684E-3
1.042592502E2,5.326322280E-4,1.065264456E-3,1.597896684E-3
1.045104404E2,5.326322280E-4,1.597896684E-3,2.663161140E-3
