"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.995236033E1,1.197100803E-2,-1.077390760E-1,9.612719536E0
4.020342844E1,3.591302410E-2,-1.053448766E-1,9.605537415E0
4.045471018E1,3.112462163E-2,-1.125274822E-1,9.615114212E0
4.070556553E1,2.154781483E-2,-1.029506698E-1,9.607931137E0
4.095678623E1,1.915361360E-2,-1.053448766E-1,9.605537415E0
4.120779331E1,2.394201607E-2,-1.149216816E-1,9.612719536E0
4.145889194E1,2.633621916E-2,-1.173158810E-1,9.615114212E0
4.171005161E1,1.915361360E-2,-1.005564705E-1,9.610325813E0
4.196136387E1,1.436521020E-2,-1.077390760E-1,9.615114212E0
4.221264561E1,2.873042040E-2,-1.173158810E-1,9.615114212E0
4.246383579E1,2.633621916E-2,-1.101332754E-1,9.612719536E0
4.271493442E1,1.436521020E-2,-1.101332754E-1,9.603142738E0
4.296624668E1,3.112462163E-2,-1.053448766E-1,9.595960617E0
4.321749790E1,2.154781483E-2,-1.149216816E-1,9.612719536E0
4.346868809E1,2.873042040E-2,-1.125274822E-1,9.615114212E0
4.371972568E1,3.112462163E-2,-1.149216816E-1,9.612719536E0
4.397070225E1,1.675941236E-2,-1.149216816E-1,9.612719536E0
4.422195347E1,3.112462163E-2,-1.173158810E-1,9.605537415E0
4.447320469E1,3.591302410E-2,-1.029506698E-1,9.607931137E0
4.472424228E1,3.112462163E-2,-1.029506698E-1,9.612719536E0
4.497549351E1,1.915361360E-2,-1.029506698E-1,9.605537415E0
4.522647007E1,3.591302410E-2,-1.005564705E-1,9.610325813E0
4.547769077E1,2.394201607E-2,-1.125274822E-1,9.610325813E0
4.572894199E1,1.197100803E-2,-1.101332754E-1,9.615114212E0
4.598010166E1,1.675941236E-2,-1.029506698E-1,9.612719536E0
4.623135288E1,2.154781483E-2,-1.149216816E-1,9.610325813E0
4.648235996E1,2.873042040E-2,-1.173158810E-1,9.619902611E0
4.673370274E1,1.197100803E-2,-1.268926859E-1,9.605537415E0
4.698477085E1,9.576806799E-3,-9.816227108E-2,9.600749016E0
4.723620518E1,2.394201607E-2,-1.221042871E-1,9.607931137E0
4.748751743E1,9.576806799E-3,-1.077390760E-1,9.615114212E0
4.773867710E1,2.633621916E-2,-1.053448766E-1,9.612719536E0
4.798983677E1,2.873042040E-2,-1.053448766E-1,9.607931137E0
4.824102695E1,2.873042040E-2,-1.005564705E-1,9.605537415E0
4.849218662E1,1.675941236E-2,-1.101332754E-1,9.603142738E0
4.874343784E1,2.394201607E-2,-1.125274822E-1,9.610325813E0
4.899447544E1,2.154781483E-2,-1.149216816E-1,9.607931137E0
4.924545200E1,2.633621916E-2,-1.125274822E-1,9.615114212E0
4.949648960E1,1.915361360E-2,-1.221042871E-1,9.600749016E0
4.974774082E1,2.394201607E-2,-1.101332754E-1,9.607931137E0
4.999902256E1,4.070143029E-2,-1.029506698E-1,9.615114212E0
5.025015171E1,1.675941236E-2,-1.029506698E-1,9.600749016E0
5.050125034E1,3.112462163E-2,-1.029506698E-1,9.605537415E0
5.075259312E1,3.112462163E-2,-1.125274822E-1,9.612719536E0
5.100375278E1,3.830722719E-2,-1.029506698E-1,9.605537415E0
5.125509556E1,2.873042040E-2,-1.077390760E-1,9.607931137E0
5.150637730E1,2.154781483E-2,-1.029506698E-1,9.617507935E0
5.175756748E1,2.154781483E-2,-1.077390760E-1,9.607931137E0
5.200903232E1,2.154781483E-2,-9.576806426E-2,9.615114212E0
5.226019199E1,3.112462163E-2,-1.149216816E-1,9.605537415E0
5.251159580E1,2.633621916E-2,-1.125274822E-1,9.605537415E0
5.276275547E1,1.915361360E-2,-1.005564705E-1,9.605537415E0
5.301373203E1,2.394201607E-2,-1.053448766E-1,9.607931137E0
5.326489170E1,2.154781483E-2,-1.077390760E-1,9.610325813E0
5.351602085E1,3.830722719E-2,-1.077390760E-1,9.605537415E0
5.376724155E1,2.394201607E-2,-1.005564705E-1,9.612719536E0
5.401852329E1,1.915361360E-2,-1.197100878E-1,9.610325813E0
5.426940830E1,2.394201607E-2,-1.149216816E-1,9.605537415E0
5.452053745E1,3.112462163E-2,-1.101332754E-1,9.607931137E0
5.477166660E1,2.154781483E-2,-1.125274822E-1,9.612719536E0
5.502285679E1,1.675941236E-2,-1.077390760E-1,9.615114212E0
5.527398594E1,3.112462163E-2,-1.053448766E-1,9.607931137E0
5.552505405E1,3.112462163E-2,-1.101332754E-1,9.607931137E0
5.577618320E1,2.394201607E-2,-1.149216816E-1,9.610325813E0
5.602740391E1,2.394201607E-2,-1.029506698E-1,9.598354340E0
5.627874668E1,2.394201607E-2,-1.125274822E-1,9.610325813E0
5.652987583E1,1.197100803E-2,-1.005564705E-1,9.615114212E0
5.678118809E1,3.351882473E-2,-1.149216816E-1,9.607931137E0
5.703234775E1,3.112462163E-2,-1.077390760E-1,9.610325813E0
5.728341587E1,3.112462163E-2,-1.149216816E-1,9.612719536E0
5.753466709E1,3.351882473E-2,-1.077390760E-1,9.603142738E0
5.778576572E1,2.633621916E-2,-1.149216816E-1,9.607931137E0
5.803698643E1,2.394201607E-2,-1.173158810E-1,9.610325813E0
5.828790195E1,2.633621916E-2,-1.125274822E-1,9.607931137E0
5.853906162E1,2.633621916E-2,-1.125274822E-1,9.610325813E0
5.879022129E1,1.197100803E-2,-1.125274822E-1,9.593565941E0
5.904125889E1,1.915361360E-2,-1.029506698E-1,9.607931137E0
5.929260166E1,3.830722719E-2,-1.125274822E-1,9.600749016E0
5.954342564E1,2.633621916E-2,-1.173158810E-1,9.598354340E0
5.979455478E1,2.394201607E-2,-1.005564705E-1,9.605537415E0
6.004571445E1,3.112462163E-2,-1.029506698E-1,9.603142738E0
6.029690464E1,2.394201607E-2,-1.077390760E-1,9.603142738E0
6.054806431E1,2.154781483E-2,-1.101332754E-1,9.605537415E0
6.079937656E1,2.633621916E-2,-1.125274822E-1,9.605537415E0
6.105078037E1,2.394201607E-2,-1.173158810E-1,9.605537415E0
6.130175693E1,2.394201607E-2,-1.125274822E-1,9.598354340E0
