"Time (s)","Illuminance (lx)"
2.414222300E2,1.350000000E2
2.424029734E2,1.360000000E2
2.428931162E2,1.370000000E2
2.435800974E2,1.360000000E2
2.438744089E2,1.350000000E2
2.451496164E2,1.360000000E2
2.462285044E2,1.370000000E2
2.475038645E2,1.380000000E2
2.477981455E2,1.390000000E2
2.482886545E2,1.400000000E2
2.497600596E2,1.390000000E2
2.502507212E2,1.380000000E2
2.516243174E2,1.370000000E2
2.522128794E2,1.380000000E2
2.527033884E2,1.370000000E2
2.529977305E2,1.350000000E2
2.535863230E2,1.360000000E2
2.548616831E2,1.350000000E2
2.557448008E2,1.360000000E2
2.571182139E2,1.350000000E2
2.583933034E2,1.360000000E2
2.594724966E2,1.360000000E2
2.600609060E2,1.350000000E2
2.616301199E2,1.360000000E2
2.620225454E2,1.350000000E2
2.624147573E2,1.340000000E2
2.631994863E2,1.350000000E2
2.652593618E2,1.360000000E2
2.655537344E2,1.350000000E2
2.670252615E2,1.350000000E2
2.681038442E2,1.360000000E2
2.691834341E2,1.350000000E2
2.699680835E2,1.360000000E2
2.709490100E2,1.360000000E2
2.719300280E2,1.370000000E2
2.723224231E2,1.390000000E2
2.727146044E2,1.410000000E2
2.741861621E2,1.400000000E2
2.755593615E2,1.380000000E2
2.780118457E2,1.370000000E2
2.784042407E2,1.360000000E2
2.790904895E2,1.350000000E2
2.795808764E2,1.360000000E2
2.798751574E2,1.360000000E2
2.804635974E2,1.340000000E2
2.812482348E2,1.350000000E2
2.825235644E2,1.340000000E2
2.831120349E2,1.350000000E2
2.875267382E2,1.360000000E2
2.878211108E2,1.350000000E2
2.897828723E2,1.360000000E2
2.900773669E2,1.350000000E2
2.905676912E2,1.340000000E2
2.912545503E2,1.350000000E2
2.918432039E2,1.340000000E2
2.931184114E2,1.350000000E2
2.948840059E2,1.340000000E2
2.957666658E2,1.350000000E2
2.963556245E2,1.360000000E2
2.967481416E2,1.350000000E2
2.979255098E2,1.340000000E2
2.995931123E2,1.350000000E2
